Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Hamari Shaan,Balwant Bhatt,"Bharat Bhushan, Veera, Durga Khote, Yakub, Agha, S. N. Tripathi, David, Yashodhara Katju",Family Drama,"Music: Chitragupta Lyrics: Anjum Jaipuri, Saraswati Kumar Deepak, Raja Mehdi Ali Khan (1)",1951,,,
Hanuman Patal Vijay,Homi Wadia,"Meena Kumari, Mahipal, Amarnath, Niranjan Sharma, Dalpat, Bimla, Shanta Kanwar",Religious,Music: S. N. Tripathi Lyrics:,1951,,,
Hulchul,Shubh Karan Ojha,"Dilip Kumar, Nargis, Sitara Devi, Yakub, Jeevan, Balraj Sahni",Family Social Drama,"Music: Sajjad Hussain, Mohammed Shafi Niyazi Lyrics: Khumar Barabankvi",1951,,,
Humlog,Zia Sarhadi,"Nutan, Balraj Sahni, Shyama, Sajjan, Kanhaiyalal, Durga Khote, Cuckoo, Ratan",Social,"Music: Roshan Lyrics: Udhav Kumar, Vishwamitra Adil",1951,,,
Ishwar Bhakti,Gunjal,"Trilok Kapoor, Nirupa Roy, Shalini, Urvashi, Nand Kishore",Devotional,"Music: Sonik, Giridhar Lyrics: Narendra Sharma",1951,,,
Jadoo,A. R. Kardar,"Nalini Jaywant, Suresh, Krishna Kumar, E. Billimoria",Crime Romance,Music: Naushad Lyrics: Shakeel Badayuni,1951,,,
Jai Mahakali,Dhirubhai Desai,"Nirupa Roy, Shahu Modak, Shanta Kunwar, Lalita Pawar, Ulhas, S. N. Tripathi",Religious,"Music: Kumar Lyrics: Saraswati Kumar Deepak, Firoz Jalandhari",1951,,,
Jai Mahalaxmi,Nanubhai Vakil,"Shobhana Samarth, Mahipal, Usha Kiran, Arun, Nirmala, Tiwari, Ramsingh",Religious,"Music: Avinash Vyas Lyrics: Mulkraj Bhakri, Saraswati Kumar Deepak, B. P. Bhargav",1951,,,
Jai Shankar,Ishwarlal,"Ishwarlal, Ranjana, Shakuntala, Niranjan Sharma, Babu Raje, Kesari, Heera Sawant",Religious,"Music: Khemchand Prakash Lyrics: Neelkanth Tiwari, Ambikesh Kuntal",1951,,,
Jawani Ki Aag,H. S. Rawail,"Ramola, Iftekhar, Robin Majumdar, Hiralal, Manorama, Sunder",Social,"Music: G. A. Chisti Lyrics: Jameel Mazhari, G. A. Chishti",1951,,,
Johari,Niranjan,"Amarnath, Geeta Bali, Manorama, Sunder, Cuckoo, Rajan Haksar",Social,Music: Harbans Lal Lyrics: Tejnath Zar,1951,,,
Kali Ghata,Kishore Sahu,"Bina Rai, Kishore Sahu, Gope, Asha Mathur, Ulhas, Jeevan, Cuckoo",Romantce Drama,"Music: Shanker-Jaikishen Lyrics: Hasrat Jaipuri, Shailendra",1951,,,
Kashmir,Rajendra Jolly,"Nirupa Roy, Veena, Kamal Kapoor, Aroon, Achala Sachdev, Sajjan, Al Nasir, Tiwari",Social Drama,Music: Hansraj Behl Lyrics: Sarshar Sailani,1951,,,
Khazana,M. Sadiq,"Nasir Khan, Madhubala, Gope, Om Prakash, Cuckoo, Raj Mehra, Ramesh Thakur",Social,Music: C. Ramchandra Lyrics: Rajendra Krishan,1951,,,
Lachak,M. R. Dharamsey,"Geeta Bali, Amarnath, Kuldip Kaur, Agha, Ram Singh, Paro Devi",Social,"Music: Motiram Lyrics: Sheikh Adam, Shreeram Vohra, Hasrat Jaipuri, Shakeel Badayuni",1951,,,
Lakshmi Narayan,Nanabhai Bhatt,"Meena Kumari, Mahipal, Amarnath, Dalpat, B. M. Vyas, Vasantrao Pahelwan, S. N. Tripathi",Religious,"Music: S. N. Tripathi Lyrics: B. D. Mishra, Ramesh Pandey",1951,,,
Lav Kush,Nanabhai Bhatt,"Prem Adib, Nirupa Roy, Umakant, Amirbai Karnataki, Badri Prasad",Mythology,Music: Shanti Kumar Lyrics: Ramesh Gupta,1951,,,
Lokmanya Bal Gangadhar Tilak,Vishram Bedekar,,Documentary,Music:,1951,,,
Madhosh,J.B.H. Wadia,"Manhar Desai, Meena Kumari, Usha Kiran, S. Nasir, Mubarak, Rajan, Goldstein, Jillobai",Social,Music: Madan Mohan Lyrics: Raja Mehdi Ali Khan,1951,,,
Maldar,Amit Mitra,"Balraj Sahni, Smriti Biswas, Nilima, Chhabi Biswas",Social,Music: Satish Bhatia Lyrics: Pran,1951,,,
Malhar,Tara Harish,"Shammi, Arjun, Sankatha Prasad, Prem, Arjun, Shammi, Moti Sagar, Kanhaiyalal, Sonalini Devi",Family Drama,"Produced by Mukesh. Music: Roshan Lyrics: Indeevar, Kaif Irfani",1951,,,
Malati Madhav,M. Neelkanth,"Durga Khote, Anant Marathe, Shakuntala, Balakram Kelkar",Social,Music: Sudhir Phadke Lyrics: Narendra Sharma,1951,,,
Mangla,S. S. Vasan,"Ranjan, P. Bhanumati, J Doraiswamy, Agha, David, B. S. Kale, Badri Prasad, Suryaprabha",Costume Drama,Music: M. D. Parthasarathy Lyrics:,1951,,,
Maya Machhindra,Aspi Irani,"Nirupa Roy, Trilok Kapoor, Usha Kiran, Shanta Kunwar, Amirbai Karnataki",Biopic Devotional,"Music: Premnath Lyrics: Manohar Khanna, Neelkanth Tiwari",1951,,,
Nadaan,Hira Singh,"Dev Anand, Madhubala, Sunalini Devi, Madan Puri, Manmohan Krishna, Mubarak, Chaman Puri",Romantic Drama,Music: Chic Chocolate Lyrics: Pyarelal Santoshi,1951,,,
Nagina,Ravindra Dave,"Nasir Khan, Nutan, Gope, Mohana, Hiralal, Bipin Gupta, Goldstein, Shamlal",Suspense Romance,"Music: Shanker Jaikishen Lyrics: Shailendra, Hasrat Jaipuri",1951,,,
Nai Zindagi,Mohan Sinha,"Nirupa Roy, Amarnath, Kuldip Kaur, Durga Khote, Ulhas, Shanta Kanwar, Narmada Shankar",Social,Music: Murari Sharma Lyrics:,1951,,,
Nakhare,Surya Kumar,"Nasir Khan, Geeta Bali, Jeevan, David, Paro Devi, Heera Sawant",Romance Drama,"Music: Hansraj Behl Lyrics: Bharat Vyas, Tahir Lakhnavi",1951,,,
Nandkishore,Vasant Joglekar,"Nalini Jaywant, Mahipal, Durga Khote, Lalita Pawar, Baburao Pendharker, Rajan",Devotional,Music: Snehal Bhatkar Lyrics: Narendra Sharma,1951,,,
Naujawan,Mahesh Kaul,"Nalini Jaywant, Premnath, Yashodhara Katju, Kamal Mehra, Zeb Qureshi, Cuckoo, S. N. Banerjee",Social,Music: S. D. Burman Lyrics: Sahir Ludhianvi,1951,,,
Nazneen,N. K. Ziri,"Madhubala, Nasir Khan, Jayant, Agha, Om Prakash, Cuckoo, Chanchal, Ram Avtar, Pratima Devi",Romantic Drama,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,1951,,,
Phoolon Ke Haar,G. P. Pawar,"Nasir Khan, Geeta Bali, Nigar Sultana, Yashodhara Katju, Hiralal, Sunder, Madhav Kale",Drama,"Music: Hansraj Behl Lyrics: Bharat Vyas, Indeevar, D. N. Madhok",1951,,,
Pyar Ki Baaten,Akhtar Hussain,"Trilok Kapoor, Nargis, Nazir, Maruti, Nissar, Khurshid, Cuckoo",Social,"Music: Bulo C. Rani, Khayyam Lyrics: Khawar Zaman, M. L. Khanna",1951,,,
Rajput,Lekhraj Bhakri,"Suraiya, P. Jairaj, Kuldip Kaur, Sapru, Maruti, Randhir",Action Drama,"Music: Hansraj Behl Lyrics: Bharat Vyas, Indeevar, Asad Bhopali, Kaif Irfani",1951,,,
Ram Janma,Nanabhai Bhatt,"Nirupa Roy, Trilok Kapoor, Veera, Shobhana Samarth, Ramsingh",Religious,Music: Avinash Vyas Lyrics: Ramesh Gupta,1951,,,
Riding Hero,Chandrakant Gaur,"Maruti, P. Kailash, Basant Malini, Bhim, Babu Raje",Action,Music: Indravardhan Bhatt Lyrics:,1951,,,
Saagar,P. Jairaj,"Nargis, P. Jairaj, Bharat Bhushan, Durga Khote, Veera, K. N. Singh, David",Family Romance triangle,Music: S. K. Pal Lyrics: Narendra Sharma,1951,,,
Sabz Bagh,Aziz Kashmiri,"Nimmi, Shekhar, Pran, Chand Burque, Om Prakash, Suraiya Choudhary, Kamal Kapoor, Rashid Khan, Majnu, Cuckoo",Social Drama,"Music: Vinod, Gulshan Sufi Lyrics: Aziz Kashmiri",1951,,,
Sagai,H. S. Rawail,"Premnath, Madhubala, Gope, Yakub, Sunder, Cuckoo, Rehana, Vijayalaxmi, Purnima, Mohana, Iftekhar",Family Drama,Music: C. Ramchandra Lyrics: Rajendra Krishan,1951,,,
Saiyan,M. Sadiq,"Madhubala, Sajjan, Raj Mehra, Jayant, Ramesh Thakur, Cuckoo, Amar, Leela Chitnis",Romantic melodrama,"Music: Sajjad Hussain Lyrics: Rajinder Krishan, D.N. Madhok, Hasrat Jaipuri (1)",1951,,,
Sanam,Nandlal Jaswantlal,"Dev Anand, Suraiya, Meena Kumari, Gope, K. N. Singh, Pratima Devi, Jillobai",,Music: Husanlal Bhagatram Lyrics: Qamar Jalalabadi,1951,,,
Sansar,S. S. Vasan,"M. K. Radha, Vanaja, Pushpavalli, Mohana, Agha, Ishwarlal, Ratnappa, Swaraj, David",Social,"Music: Parthasarthi, B. S. Kalla, Lyrics: Pandit Indra",1951,,,
Sarkar,K. Amarnath,"Ajit, Veena, Usha Kiran, Shashikala, Hiralal, Ulhas, S. Nazir, Cuckoo, Murad",Costume Action Drama,Music: Gobind Ram Lyrics:,1951,,,
Saudagar,M. I. Dharamsey,"Nasir Khan, Rehana, K. N. Singh, Shakuntala Paranjpye, Bhudo Advani, Suraiya Choudhary",Social Drama,"Music: C. Ramchandra Lyrics: Pyarelal Santoshi, Hasrat Jaipuri, Hanuman Prasad",1951,,,
Sazaa,Fali Mistry,"Dev Anand, Nimmi, Shyama, K. N. Singh, Lalita Pawar, Mukri, Durga Khote, Gope",Romantic melodrama,"Music: S. D. Burman Lyrics: Rajendra Krishan, Sahir Ludhianvi (1)",1951,,,
Shabistan,B. Mitra,"Naseem Banu, Shyam, Sapru, Murad, Cuckoo, Bipin Gupta",Costume Drama,"Shyam died during the making of this film from a fall off a horseback. Music: Madan Mohan, C. Ramchandra Lyrics: Qamar Jalalabadi",1951,,,
Shagun,S. Arora,"Sulochana Chatterji, Kamal Kapoor, Bhudo Advani, Wasti Ranjit Kumari",,"Music: Husnlal Bhagatram, Sardul Kwatra Lyrics: Mulkraj Bhakri",1951,,,
Shokian,Kidar Sharma,"Premnath, Suraiya, Jeevan, Helen O'Brian, Nazira, Achala Sachdev",Costume Action Drama,Music: Jamal Sen Lyrics: Kidar Sharma,1951,,,
Shri Ganesh Janma,Jayant Desai,"Trilok Kapoor, Nirupa Roy, Jeevan, Ulhas, Vasantrao Pahelwan, Tiwari",Religious,Music: Khemchand Prakash Lyrics: Bharat Vyas,1951,,,
Shri Vishnu Bhagwan,Raja Nene,"Trilok Kapoor, Nirupa Roy, Usha Kiran, Jankidas",Religious,"Music: Avinash Vyas Lyrics: Saraswati Kumar Deepak, Mukhram Sharma",1951,,,
Shrikrishna Satyabhama,Raja Paranjpe,"Shahu Modak, Purnima, Anant Marathe, Vasantrao Pahelwan, Nimbalkar",Religious,Music: K. Bhole Lyrics: Mukhram Sharma,1951,,,
Simba,Mohammed Hussain,"Bimla, Raja Salim, Krishna Kumari, Baburao, Sheikh, Habib",Action Adventure,"Music: D. C. Dutta Lyrics: Farooq Qaisar, Indeevar (2)",1951,,,
Stage,Vijay Mhatre,"Dev Anand, Ramola, Kuldip Kaur, Mubarak, Cuckoo, Sunder, Ram Singh, Raj Mehra",Social Drama,Music: Sardar Malik Lyrics: Sarshar Sailani,1951,,,
Tarana,Ram Daryani,"Madhubala, Dilip Kumar, Shyama, Kumar, Jeevan, Gope, Gulab",Romantic Drama,"Music: Anil Biswas Lyrics: D. N. Madhok, Kaif Irfani Prem Dhawan",1951,,,
Ustad Pedro,Tara Harish,"Sheikh Mukhtar, Begum Para, Mukri, Shammi, Sapru, Agha",Action,Music: C. Ramchandra Lyrics: Raja Mehdi Ali Khan,1951,,,
Aan,Mehboob Khan,"Dilip Kumar, Premnath, Nimmi, Nadira, Murad, Cuckoo, Sheela Nayak, Mukri, Amir Bano",Swashbuckling Musical Romance,,1952,Music: Naushad Lyrics: Shakeel Badayuni,,
Aandhiyan,Chetan Anand,"Dev Anand, Nimmi, Kalpana Kartik, Durga Khote, K. N. Singh, Leela Mishra, Johnny Walker",Romance Drama,,1952,Music: Ali Akbar Khan Lyrics: Narendra Sharma,,
Aasmaan,D. M. Pancholi,"Shyama, Nasir Khan, Anwar Hussain, Lalita Pawar, Veera, Badri Prasad, David, Asha Prekh, Achala Sachdev",Family Drama,,1952,Music: O. P. Nayyar Lyrics: Prem Dhawan,,
Ajeeb Ladki,Mohammed Ehsan,"Naseem Banu, Rehman, Shashikala, Cuckoo, Agha, Jayant, Shyam Kumar",Social,,1952,Music: Ghulam Mohammed Lyrics: Shakeel Badayuni,,
Aladdin Aur Jadui Chirag,Homi Wadia,"Mahipal, Meena Kumari, B. M. Vyas, S. N. Tripathi, W. M. Khan, Jillobai, Vasantrao Pahelwan",Costume Fantasy,,1952,Music: S. N. Tripathi Lyrics: Shyam Hindi,,
Amber,Jayant Desai,"Nargis, Raj Kapoor, Agha, Bipin Gupta, Baby Tanuja, Cuckoo, Helen, Nayampalli, B. M. Vyas",Romance Drama,,1952,Music: Ghulam Mohammed Lyrics:Shakeel Badayuni,,
Anmol Sahara,Amar Dutt,"Jayshree, Ameeta Krishna Kumari, Raj Kumar, Geeta, Nilima",Social,,1952,Music: Santosh Mukherjee Lyrics: B. M. Sharma,,
Anand Math,Hemen Gupta,"Prithviraj Kapoor, Bharat Bhushan, Geeta Bali, Pradeep Kumar, Ajit, Ranjana, Murad",Patriotic Historical,,1952,"Music: Hemant Kumar Lyrics: Bankim Chandra Chattopadhyaya, Jayadeva",,
Anhonee,K. A. Abbas,"Nargis, Raj Kapoor, Achala Sachdev, Om Prakash, Agha, David, Jankidas, Shaukat Hashmi",Social Drama,,1952,Music: Roshan Lyrics: Ali Sardar Jafri,,
Anjaam,Shanti Kumar,"Premnath, Vyjayantimala, Kuldip Kaur, Yakub, Dulari, Jankidas, Shammi",Social Drama,,1952,Music: Madan Mohan Lyrics: Qamar Jalalabadi,,
Annadata,Ismail Memon,"Ajit, Veena, Sheikh Mukhtar, Murad, Neena Maker, Mukri, Kanhaiyalal, N. A. Ansari",Social,,1952,"Music: Mohammed Shafi Lyrics: Anjum Jaipuri, Hasrat Jaipuri, Ali Sardar Jafri",,
Apni Izzat,Nanabhi Bhatt,"Motilal, Munawwar Sultana, Yakub, Sulochana Chatterji, Gope, Yashodhara Katju, Agha, Raj Mehra",Family Drama,,1952,"Music: Hansraj Behl Lyrics: Bharat Vyas, Varma Malik",,
Ashiana,B. Trilochan,"Raj Kapoor, Nargis, Iftekhar, Master Rattan, Mohana, Randhir","Romance, Supernatural",,1952,Music: Madan Mohan Lyrics: Rajendra Krishan,,
Badnam,D. D. Kashyap,"Balraj Sahni, Shyama, Prabhu Dayal, Sheila, Ulhas, Jankidas, Murad",Melodrama,,1952,"Music: Basant Prakash Lyrics: Hasrat Jaipuri, Shailendra",,
Baghdad,Nanabhi Bhatt,"Ranjan, Begum Para, Bhagwan, Anwar Hussain, Yashodhara Katju, Hari Shivdasani",Fantasy,,1952,Music: Bulo C. Rani Lyrics: Raja Mehdi Ali Khan,,
Bahu Beti,S. L. Dheer,"Geeta Bali, Amarnath, Jaswant, Vijayalaxmi, Leela Mishra, Rashid Khan, S. Nazir",Family Drama,,1952,Music: S. D. Batish Lyrics: Kaifi Azmi,,
Baiju Bawra,Vijay Bhatt,"Meena Kumari, Bharat Bushan, Surendra, Kuldip Kaur, Radhakrishan, Manmohan Krishna, Bipin Gupta",Legend Romance Musical,,1952,Music: Naushad Lyrics: Shakeel Badayuni,,
Betaab,Harbans Singh,"Naseem Banu, Geeta Bali, Ashok Kumar, Motilal, Murad, Kumar, Kamal",Social Drama,,1952,"Music: S. D. Batish Lyrics: Bharat Vyas, Roopbani, Kaif Irfani",,
Bewafa,M. L. Anand,"Raj Kapoor, Nargis, Ashok Kumar, Bhudo Advani, Neelam, Siddiqi",Romance Drama,,1952,Music: A. R. Qureshi Lyrics: Sarshar Sailani,,
Bhakta Puran,Dhirubhai Desai,"Shahu Modak, Nirupa Roy, Sapru, B. M. Vyas, Lalita Pawar, Niranjan Sharma, Naaz, Shanta Kumari, S. N. Tripathi",Devotional,,1952,"Music: Chitragupta Lyrics: Ramesh Chandra Pandey, Gopal Singh Nepali",,
Bhule Bhatke,Brij Mohan,"Bhagwan, Shyama, Dulari, Baburao Pendharkar, Leela Gupte, Habib, Nihal",Action,,1952,Music: Manohar Lyrics: Shams Azimabadi,,
Chamkee,J. K. Nanda,"Shekhar, Ragini, Roopmala, Jeevan, Leela Mishra, Ulhas, Murad, Cuckoo, Shashikala",Social,,1952,Music: Manna Dey Lyrics: Kavi Pradeep,,
Chutya Tushar,Tushar Gurav,"Akash Sawant, Rehana, Yash Panchal, Saurabh Chavan, Mohana",Comedy,,1952,Music: O. P. Nayyar Lyrics: Pyarelal Santoshi,,
Chhatrapati Shivaji,Bhalji Pendharkar,"Prithviraj Kapoor, Ranjana, Vanmala, Baburao Pendharkar, Vasantrao Pahelwan, Gajanan Jagirdar, Ratnamala, Lalita Pawar",Biopic,,1952,Music: C. Ramchandra Lyrics: Shailendra,,
Chhoti Maa,Hemchunder,"Meera Misra, Pahari Sanyal, Asit Baran, Molina, Shakoor, Manorama, Hiralal",Family Drama,,1952,"Music: Pankaj Mullick Lyrics: P. Bhushan, B. M. Sharma",,
Daag,Amiya Chakravarty,"Dilip Kumar, Nimmi, Usha Kiran, Kanhaiyalal, Chandrashekhar, Leela Mishra, Lalita Pawar, Jawahar Kaul",Social Drama,,1952,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Deewana,Abdul Rashid Kardar,"Suraiya, Suresh, Sumitra Devi, Shyam Kumar, Madan Puri, Amirbai Karnataki",Social,,1952,Music: Naushad Lyrics: Shakeel Badayuni,,
Devyani,Vasant Painter,"Mahipal, Sapru, Minaxi, Baburao Pendharkar, Shakuntala",Fantasy,,1952,Music: Purushottam Lyrics: Manohar Khanna,,
Do Raha,Bal Chhabra,"Shekhar, Nalini Jaywant, Agha, Murad, K. N. Singh, Pratima Devi, Jagdish Sethi",Social,,1952,"Music: Anil Biswas Lyrics: Sahir Ludhianvi, Prem Dhawan",,
Draupadi Vastraharan,W. Garcher,"Shahu Modak, Ratnamala, Mangla, Vasantrao Pahelwan, W. Garcher, Sapru, Amarnath",Mythological,,1952,"Music: Shanker Rao Vyas Lyrics: Saraswati Kumar Deepak, Pandit Shivraj",,
Ghungroo,Hiren Bose,"Om Prakash, Sumitra Devi, Kuldip Kaur, Murad, K N Singh, Badri Prasad",Social,,1952,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Goonj,Phani Majumdar,"Suresh, Suraiya, Bhagwan, Sapru, Madan Puri, Manju, Randhir",,,1952,"Music: Sardul Kwatra Lyrics: D. N. Madhok, Verma Malik",,
Hamari Duniya,Sushil Sahu,"Bharat Bhushan, Kishore Sahu, Asha Mathur, Kuldip Kaur, Om Prakash, Jankidas, Menaka Devi, Hiralal",Social,,1952,"Music: S. B. Pathak Lyrics: Indeevar, Hasrat Jaipuri",,
Hangama,Ram Kamlani,"Nasir Khan, Nutan, Yakub, Gope, K. N. Singh, David, Raj Mehra, Cuckoo",Social Drama,,1952,Music: C. Ramchandra Lyrics: Rajendra Krishan,,
Hyderabad Ki Nazneen,S. M. Yusuf,"Manhar Desai, Nigar Sultana, Wasti, Murad, Durga Khote, W. M. Khan",Costume,,1952,Music: Vasant Desai Lyrics: Noor Lakhnavi,,
Indrasen,Raja Nene,"Prem Adib, Ranjana, Durga Khote, Paro Devi, Nand Kishore, Ishwarlal",Mythological,,1952,"Music: Shankar Rao Vyas Lyrics: Ramesh Gupta, Neelkanth Tiwari",,
Insaan,Jagdish Sethi,"Prithviraj Kapoor, Ragini, Kamal Kapoor, Cuckoo, Roopmala, Kanhaiyalal, K. N. Singh, Raj Kumar",Social,,1952,"Music: B. N. Bali Lyrics: Sajan Bihari, Balwant Kapoor",,
Izzat,Taimur Bahramshah,"Nirupa Roy, Amarnath, Manorama, Agha, Jeevan, Pesi Patel",Social Drama,,1952,Music: Bulo C. Rani Lyrics: Raja Mehdi Ali Khan,,
Jaal,Guru Dutt,"Dev Anand, Geeta Bali, Johnny Walker, Rashid Khan, K. N. Singh, Purnima, Krishna Kumari",Romance Suspense,,1952,Music: S. D. Burman Lyrics: Sahir Ludhianvi,,
Jaggu,Jagdish Sethi,"Shyama, Kamal Kapoor, Kuldip Kaur, Tiwari, Jagdish Sethi, Baby Nanda",Social,,1952,"Music: Hansraj Behl Lyrics: Naqsh Lyallpuri, Asad Bhopali, Verma Malik, A. Shah Shikarpuri, Bharat Vyas",,
Jalpari,Mohan Sinha,"Ashok Kumar, Nalini Jaywant, Geeta Bali, Bipin Gupta, Tiwari, Sunder",Fantasy,,1952,Music: Gobindram Lyrics: Bharat Vyas,,
Jeet Kiski,Vasant Joglekar,"Shalini, Rajan, Baburao Pendharkar, Salvi",Social,,1952,Music: Datta Devjekar,,
Kafila,Arvind Sen,"Ashok Kumar, Nalini Jaywant, Motilal, Ranjan, Ameeta, Nazir Hussain",Social,,1952,"Music: Husanlal Bhagatram, Bhola Shreshtha Lyrics: Kavi Pradeep, Vrajendra Gaur",,
Khubsurat,S. F. Hussain,"Suraiya, Nasir Khan, Yakub, Noor, Husn Banu, Jankidas, Bhudo Advani, Baby Zubeida",Social,,1952,Music: Madan Mohan Lyrics: Shams Azimabadi,,
Krishna Kanhaiya,S. Nadkarni,"A L Raghvan, Narishnh Bharti, T Premavati, R. Balasubramaniam, Laxmi, Prabha",Mythological,,1952,"Music: B. S. Kalla, Shufi Lyrics:",,
Kyonji,Nari Ghadiali,"Agha, Urvashi, Leela Kumari, Sheikh, Habib",Action,,1952,"Music: Nasir Bazmi Lyrics: Ratanlal Khanjar, Sheikh Adam",,
Lal Kunwar,Ravindra Dave,"Suraiya, Nasir Khan, Usha Kiran, P. Jairaj, Agha, Durga Khote",Historical Romance Drama,,1952,Music: S. D. Burman Lyrics: Sahir Ludhianvi,,
Lanka Dahan,Raja Nene,"Sapru, Usha Kiran, Ranjana, Paro Devi, Ranjit Kumari",Religious,,1952,Music: Hansraj Behl Lyrics: S. P. Kalla,,
Maa,Bimal Roy,"Bharat Bhushan, Shyama, Nazir Hussain, Achala Sachdev, B. M. Vyas, Bikram Kapoor, Asit Sen, Leela Chitnis",Family Drama,,1952,Music: S. K. Pal Lyrics: Bharat Vyas,,
Mamta,Gunjal,"Ulhas, Sumitra Devi, Paro Devi, Kamal Mehra, Rajan Haksar, Ramesh",Social Drama,,1952,"Music: Sonik, Hansraj Behl Lyrics: Verma Malik, Shyam Hindi",,
Mordhwaj,Balwant Bhatt,"Prem Adib, Durga Khote, Tiwari, Shashi Kapoor, Leela Mishra, Ram Singh, Raj Adib, Nand Kishore, Manju, Babu Raje",Mythological,,1952,Music: Narayan Dutt Lyrics: Bharat Vyas,,
Moti Mahal,Ravindra Dave,"Suraiya, Ajit, Pran, Jeevan, Veera, Baby Tabassum, Rattan Kumar, Roopmala",Costume Drama,,1952,"Music: Hansraj Behl Lyrics: Asad Bhopali, Prem Dhawan",,
Mr. Sampat,S. S. Vasan,"Motilal, Padmini, Kanhaiyalal, Agha, Badri Prasad, Vanaja, Sundari Bai, Narayan Rao",Social Drama,,1952,"Music: Shanker Shastri Lyrics: Pandit Indra, J. S. Kashyap",,
Najariya,Murtaza Changezi,"Geeta Bali, Sajjan, David, Begum Para, Madan Puri, Radhakrishan, Mumtaz Ali",Social,,1952,Music: Bhola Shreshtha Lyrics: Pyarelal Santoshi,,
Nanhe Munne,Datta Dharmadhikari,"Sulochana, Raja Nene, Raja Gosavi, Shakuntala",Family Melodrama,,1952,Music: Vasant Pawar Lyrics: Pandit Phani,,
Nau Bahar,Pt. Anand Kumar,"Ashok Kumar, Nalini Jaywant, Kuldip Kaur, Sunalini Devi, Jagdish Sethi, Indu Shivraj",Romantic Drama,,1952,Music: Roshan Lyrics: Shailendra,,
Neelam Pari,Dhirubhai Desai,"Geeta Bali, Sajjan, Kuldip Kaur, Sapru, Naranjan Sharma, Gope, Samson",Fantasy,,1952,"Music: Khurshid Anwar Lyrics: Hasrat Jaipuri, Saraswati Kumar Deepak",,
Nirmohi,Baij Sharma,"Nutan, Sajjan, Amarnath, Chaman Puri, Rattan Kumar, Neeru, Leela Mishra, Raj Mehra",Social,,1952,"Music: Madan Mohan Lyrics: Uddhav Kumar, Indeevar, P. N. Rangeen",,
Nishan Danka,Jayant Desai,"Shyama, Ranjan, Jeevan, Baby Tabassum",Action Costume,,1952,"Music: Basant Prakash Lyrics: Raja Mehdi Ali Khan, S. H. Bihari, Hasrat Jaipuri",,
Parbat,O. P. Dutta,"Premnath, Nutan, Shobhana Samarth, K. N. Singh, Ulhas, Raj Mehra",Social,,1952,"Music: Shanker Lyrics: Shailendra, Hasrat Jaipuri",,
Parchhain,V. Shantaram,"Sandhya, V. Shantaram, Jayshree, Asit Baran, Lalita Pawar, Ulhas, Wasti, Saroj Khan, Nimabalkar",Romantic Melodrama,,1952,Music: C. Ramchandra Lyrics: Noor Lakhnavi,,
Poonam,M. Sadiq,"Ashok Kumar, Kamini Kaushal, Sajjan, Asha Mathur, Om Prakash, Ram Avtar",Drama,,1952,"Music: Shankar Jaikishan Lyrics: Shailendra, Hasrat Jaipuri",,
Raag Rang,Digvijay,"Ashok Kumar, Geeta Bali, Madan Puri, Ruma Devi, Jankidas, Agha, Sunder, Nand Kishore, Raja Paranjpe",,,1952,"Music: Roshan Lyrics: Kaif Irfani, Prakash Bakshi",,
Raja Harishchandra,Raman B. Desai,"Prem Adib, Sumitra Devi, Gope, Tiwari, Lalita Pawar, Bipin Gupta",Mythological,,1952,"Music: Husnlal Bhagatram Lyrics: Ramesh Gupta, Gulshan Jalalabadi, Qamar Jalalabadi, Bharat Vyas",,
Rajrani Damayanti,Raja Nene,"Nirupa Roy, Usha Kiran, Trilok Kapoor, Ramsingh, Tabassum, Shakila, Rattan Kumar",Mythology,,1952,"Music: Avinash Vyas Lyrics: Neelkanth Tiwari, Devendra Mohan, Mukhram Sharma",,
Rangeeli,Najam Naqvi,"Raaj Kumar, Rehana, Yakub, Mumtaz Ali, S Nasir, Leela Mishra",Social,,1952,Music: Chic Chocolate Lyrics: Raja Mehdi Ali Khan,,
Rani,L. V. Prasad,"Anoop Kumar, P. Bhanumati, Raja, Wahab Kashmiri",Costume Drama,,1952,"Music: D. C. Dutt Lyrics: Vishwamitra Adil, J. S. Kashyap",,
Ratnadeep,Debaki Bose,"Anuva Gupta, Abhi Bhattacharya, Manju Dey, Pahari Sanyal, Molina, Chhaya Devi, Nitish Mukerji",Social Drama,,1952,"Music: Robin Chatterjee Lyrics: Mahendra Pran, Vidyapati, Madhur, Meerabai",,
Resham,Lekhraj Bhakri,"Suraiya, P. Jairaj, Sunder, Sapru, Naaz, Achala Sachdev, Ramesh Thakur, Jagdish",Social,,1952,Music: Hansraj Behl Lyrics: Prem Dhawan,,
Saloni,J. P. Advani,"Ashok Kumar, Nalini Jaywant, Mohana, Jayant, Purnima, Shakila, Achala Sachdev",Social,,1952,"Music: Basant Prakash Lyrics: Raja Mehdi Ali Khan, Arjun Dev Ashq, Aziz Kashmiri, Hasrat Jaipuri",,
Sandesh,Bal Gajbar,"Kumud, Umesh Sharma, Meenaxi, Durga Khote, Lalita Pawar, Nana Palsikar",Social,,1952,Music: S. Purushottam Lyrics:,,
