Title,Director,Cast,Genre,Sources,Year,Music Director,Opening,Opening.1
Dil Ka Kya Kasoor,Lawrence D'Souza,"Divya Bharti, Prithvi, Suresh Oberoi, Manjeet Kullar, Laxmikant Berde",Romance,,1992,,JAN,31.0
Insaaf Ki Devi,S. A. Chandrashekhar,"Jeetendra, Rekha, Shakti Kapoor, Kader Khan",Action,,1992,,JAN,31.0
Shola Aur Shabnam,David Dhawan,"Govinda, Divya Bharti, Anupam Kher, Gulshan Grover, Mohnish Behl, Bindu, Alok Nath, Reema Lagoo, Guddi Maruti","Comedy, Action",,1992,,FEB,7.0
Raat,Ram Gopal Verma,"Revathi, Rohini Hattangadi",Horror,,1992,,FEB,7.0
Mere Sajana Saath Nibhana,Rajesh Vakil,"Mithun Chakraborty, Juhi Chawla, Shantipriya, Prem Chopra",Drama,,1992,,FEB,7.0
Meera Ka Mohan,K. Ravi Shankar,"Avinash Wadhawan, Ashwini Bhave, Pran",Romance,,1992,,FEB,7.0
Panaah,Krishnakant Pandya,"Naseeruddin Shah, Siddharth Ray, Pallavi Joshi, Kiran Kumar",Drama,,1992,,FEB,14.0
Suryavanshi,Rakesh Kumar[disambiguation needed],"Salman Khan, Sheeba Akashdeep, Amrita Singh",Drama,,1992,,FEB,14.0
Current,K. Hariharan,"Om Puri, Deepti Naval, Shriram Lagoo, Savita Prabhune",Drama,,1992,,FEB,14.0
I Love You,T. L. V. Prasad,"Prashanth, Tanuja, Reema Lagoo",Romance,,1992,,FEB,14.0
Adharm,Aziz Sejawal,"Sanjay Dutt, Shatrughan Sinha, Anita Raj, Shabana Azmi",Action,,1992,,FEB,21.0
Jaan Tere Naam,Deepak Balraj Vij,"Rohit Roy, Farheen",Romance,,1992,,FEB,21.0
Sahebzaade,Ajay Kashyap,"Sanjay Dutt, Aditya Pancholi, Neelam Kothari, Gulshan Grover","Action, Romance",,1992,,MAR,4.0
Qaid Mein Hai Bulbul,Ravindra Peepat,"Bhagyashree, Himalaya, Gulshan Grover, Reema Lagoo",Romance,,1992,,MAR,27.0
Yudhpath,Ravi Ravan,"Siddharth Ray, Sudesh Berry, Mohnish Behl, Ekta Sohini",Action,,1992,,MAR,27.0
Ganga Ka Vachan,,"Siddharth Ray, Upasana Singh",Action,,1992,,MAR,27.0
Beta,Inder Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani, Anupam Kher",Drama,,1992,,APR,3.0
Virodhi,Rajkumar Kohli,"Dharmendra, Armaan Kohli, Sunil Dutt, Anita Raj, Harsha Mehra",Action,,1992,,APR,3.0
Sarphira,Ashok Gaekwad,"Sanjay Dutt, Sumeet Saigal, Kimi Katkar, Madhavi,",Action,,1992,,APR,10.0
Saatwan Aasman,Mahesh Bhatt,"Pooja Bhatt, Vivek Mushran, Shekhar Kapur, Tanvi Azmi",Romance,,1992,,APR,17.0
Mr Bond,Raj N. Sippy,"Akshay Kumar, Sheeba Akashdeep, Pankaj Dheer, Laxmikant Berde",Action,,1992,,APR,31.0
Ghazab Tamasha,Ranjeet,"Rahul Roy, Anu Agarwal","Romance, Comedy",,1992,,MAY,1.0
Khuda Gawah,Mukul S. Anand,"Amitabh Bachchan, Sridevi, Nagarjuna, Shilpa Shirodkar, Kiran Kumar, Danny Denzongpa",Drama,,1992,,MAY,8.0
Inteha Pyar Ki,J. K. Bihari,"Rishi Kapoor, Rukhsar Rehman","Romance, Drama",,1992,,MAY,15.0
Zindagi Ek Juaa,Prakash Mehra,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Amrish Puri, Suresh Oberoi, Shakti Kapoor","Crime, Drama",,1992,,MAY,15.0
Jai Kaali,Nikhil Saini,"Jeetendra, Hema Malini, Saeed Jaffrey","Horror, Thriller",,1992,,MAY,21.0
Jo Jeeta Wohi Sikander,Mansoor Khan,"Aamir Khan, Ayesha Julka, Deepak Tijori, Pooja Bedi","Sport, Drama",,1992,,MAY,22.0
Jaan Se Pyaara,Anand,"Govinda, Divya Bharti, Kiran Kumar, Aruna Irani","Action, Drama",,1992,,MAY,22.0
Humlaa,N. Chandra,"Dharmendra, Anil Kapoor, Meenakshi Sheshadri, Kimi Katkar","Action, Drama",,1992,,MAY,22.0
Tyagi,K. C. Bokadia,"Rajnikant, Jaya Prada, Bhagyashree, Himalaya","Action, Drama",,1992,,MAY,22.0
Khiladi,Abbas Mustan,"Akshay Kumar, Ayesha Julka, Deepak Tijori","Musical, Thriller",,1992,,JUN,5.0
Police Officer,Ashok Gaikwad,"Jackie Shroff, Karisma Kapoor, Deepak Tijori","Action, Drama",,1992,,JUN,5.0
Prem Deewane,Sachin,"Jackie Shroff, Pooja Bhatt, Madhuri Dixit, Vivek Mushran",Romance,,1992,,JUN,12.0
Laat Saab,Sunil Agnihotri,"Jackie Shroff, Neelam Kothari, Mohsin Khan",Suspense,,1992,,JUN,12.0
Ek Ladka Ek Ladki,Vijay Sadanah,"Salman Khan, Neelam Kothari","Romance, Drama",,1992,,JUN,18.0
Kasak,K. Bapaiah,"Rishi Kapoor, Neelam Kothari, Chunky Pandey","Romance, Drama",,1992,,JUN,18.0
Deewana,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shahrukh Khan","Romance, Drama",,1992,,JUN,25.0
,,,,,1992,,25,
Jaagruti,Suresh Krissna,"Salman Khan, Karisma Kapoor","Action, Drama",,1992,,JUL,3.0
Parda Hai Parda,K. Bapaiah,"Chunky Pandey, Meena",Drama,,1992,,JUL,10.0
Chamatkar,Rajiv Mehra,"Naseeruddin Shah, Shahrukh Khan, Urmila Matondkar",Comedy,,1992,,JUL,10.0
Aaj Ka Goonda Raj,Ravi Raja Pinisetty,"Chiranjeevi, Meenakshi Seshadri, Raj Babbar","Crime, Action",,1992,,JUL,10.0
Honeymoon,Surendra Menon,"Rishi Kapoor, Varsha Usgaonkar, Ashwini Bhave",Romance,,1992,,JUL,10.0
Mashooq,Mirza Brothers,"Ayesha Julka, Ayub Khan",Romance,,1992,,JUL,10.0
Payal,Mahendra Shah,"Bhagyashree, Himalaya",Romance,,1992,,JUL,17.0
Zulm Ki Hukumat,Bharat Rangachary,"Dharmendra, Moushmi Chatterji, Govinda, Kimi Katkar",Action,,1992,,JUL,17.0
Nishchaiy,Esmayeel Shroff,"Salman Khan, Vinod Khanna, Karisma Kapoor, Moushmi Chatterji",Romance,,1992,,JUL,17.0
Sapne Sajan Ke,Lawrence D'Souza,"Jackie Shroff, Rahul Roy, Karisma Kapoor, Gulshan Grover","Musical, Romance",,1992,,JUL,24.0
Police Aur Mujrim,K. C. Bokadia,"Raaj Kumar, Vinod Khanna, Meenakshi Seshadri, Nagma, Avinash Wadhawan","Crime, Drama",,1992,,JUL,24.0
Bekhudi,Rahul Rawail,"Kajol, Kamal Sadanah, Ajay Mankotia, Tanuja","Musical, Romance",,1992,,JUL,31.0
Humshakal,Kalpataru,"Vinod Khanna, Meenakshi Seshadri, Nagma, Avinash Wadhawan","Crime, Drama",,1992,,JUL,31.0
Radha Ka Sangam,Kirti Kumar,"Govinda, Juhi Chawla",Romance,,1992,,JUL,31.0
Tahalka,Anil Sharma,"Dharmendra, Naseeruddin Shah, Aditya Pancholi, Javed Jaffrey, Ekta Sohini, Pallavi Joshi, Shikha Swaroop, Sonu Walia",Action,,1992,,AUG,7.0
Khel,Rakesh Roshan,"Anil Kapoor, Madhuri Dixit, Sonu Walia","Comedy, Drama",,1992,,AUG,14.0
Deedar,Pramod Chakravorty,"Akshay Kumar, Karisma Kapoor, Anupam Kher","Romance, Drama",,1992,,AUG,14.0
Mehboob Mere Mehboob,Gurdeep Singh,"Sujoy Mukherjee, Pratibha Sinha, Mohnish Bahl, Gulshan Grover",Romance,,1992,,AUG,14.0
Bol Radha Bol,David Dhawan,"Rishi Kapoor, Juhi Chawla, Mohnish Bahl","Romance, Comedy",,1992,,AUG,21.0
Kal Ki Awaz,Ravi Chopra,"Dharmendra, Amrita Singh, Pratibha Sinha, Raj Babbar",Social Drama,,1992,,AUG,21.0
Jeena Marna Tere Sang,Vijay Reddy,"Sanjay Dutt, Raveena Tandon",Action,,1992,,AUG,28.0
Isi Ka Naam Zindagi,Kalidas,"Aamir Khan, Farha Naaz, Pran",Comedy,,1992,,AUG,28.0
Heer Ranjha,Harmesh Malhotra,"Anil Kapoor, Sridevi, Pran",Romance,,1992,,SEP,4.0
Aasman Se Gira,Pankaj Parashar,"Raghubir Yadav, Kalpana Iyer, Anil Kapoor, Sridevi",Fantasy,,1992,,SEP,4.0
Angaar,Shashilal K. Nair,"Jackie Shroff, Dimple Kapadia, Nana Patekar, Om Puri, Kader Khan, Mazhar Khan",Romance,,1992,,SEP,11.0
Bewaffa Se Waffa,Saawan Kumar Tak,"Juhi Chawla, Vivek Mushran, Nagma","Romance, Drama",,1992,,SEP,11.0
Balwaan,Deepak Anand,"Divya Bharti, Sunil Shetty, Danny Denzongpa",Action,,1992,,SEP,11.0
Waqt Ka Badshah,Manmohan,"Akash Deep, Moon Moon Sen",Action,,1992,,SEP,11.0
Junoon,Vijay Sadanah,"Pooja Bhatt, Rahul Roy","Romance, Musical",,1992,,SEP,18.0
Sangeet,K. Vishwanath,"Jackie Shroff, Madhuri Dixit","Romance, Drama",,1992,,SEP,18.0
Dilwale Kabhi Na Hare,C. Menon,"Rahul Roy, Nagma, Prithvi, Varsha Usgaonkar","Romance, Drama",,1992,,SEP,25.0
,,,,,1992,,25,
Dushman Zamana,Jagdish A. Sharma,"Divya Bharti, Armaan Kohli, Paresh Rawal",Romance,,1992,,OCT,2.0
Suraj Ka Satvan Ghoda,Shyam Benegal,"Rajit Kapur, Amrish Puri, Neena Gupta, Rajeshwari Sachdev, Pallavi Joshi",Drama,,1992,,OCT,9.0
Drohi,Ram Gopal Varma,"Nagarjuna, Urmila Matondkar, Danny Denzongpa","Crime, Thriller",,1992,,OCT,23.0
Yalgaar,Feroz Khan,"Sanjay Dutt, Feroz Khan, Manisha Koirala, Nagma, Mukesh Khanna",Action,,1992,,OCT,23.0
Jigar,Farogue Siddique,"Ajay Devgn, Karisma Kapoor","Action, Musical",,1992,,OCT,23.0
Muskurahat,Priyadarshan,"Revathi, Jay Mehra, Amrish Puri","Comedy, Romance",,1992,,OCT,30.0
Apradhi,K. Ravi Shankar,"Anil Kapoor, Vijayshanti, Chunky Pandey, Shilpa Shirodkar","Crime, Action",,1992,,NOV,6.0
Baaz,S. Subhash,"Govinda, Sonam","Crime, Action",,1992,,NOV,6.0
Ghar Jamai,Arun Bhatt,"Mithun Chakraborty, Varsha Usgaonkar",Drama,,1992,,NOV,13.0
Raju Ban Gaya Gentleman,Aziz Mirza,"Juhi Chawla, Shahrukh Khan, Amrita Singh, Nana Patekar","Romance, Drama",,1992,,NOV,13.0
Geet,Parto Ghosh,"Divya Bharti, Avinash Wadhawan, Shakti Kapoor","Romance, Drama",,1992,,NOV,20.0
Jaanam,Vikram Bhatt,"Pooja Bhatt, Rahul Roy",Romance,,1992,,NOV,27.0
Umar 55 Ki Dil Bachpan Ka,Ajay Mehra,"Chandni, Akshay Anand, Kader Khan",Comedy,,1992,,NOV,27.0
Dil Aashna Hai,Hema Malini,"Divya Bharti, Dimple Kapadia, Shahrukh Khan, Amrita Singh, Sonu Walia, Jeetendra, Farida Jalal, Kabir Bedi, Mithun Chakraborty, Raza Murad",Drama,,1992,,DEC,25.0
Khule-Aam,Arun Dutt,"Dharmendra, Neelam Kothari, Chunky Pandey",Action,,1992,,DEC,25.0
15 August,Vicky Ranawat,"Ronit Roy, Tisca Chopra, Prem Chopra, Saeed Jaffrey",,,1993,,,
Aadmi,Arshad Khan,"Mithun Chakraborty, Gauthami","Action, Crime, Drama, Romance",,1993,,,
Aadmi Khilona Hai,J. Om Prakash,"Jeetendra, Reena Roy, Govinda, Meenakshi Seshadri","Drama, Romance",,1993,,,
Aag Ka Toofan,Kanti Mehta,"Shashi Kapoor, Dharmendra, Farheen, Ravi Kishen",,,1993,,,
Aaina,Deepak Sareen,"Jackie Shroff, Juhi Chawla, Amrita Singh",Romance,,1993,,,
Aaja Meri Jaan,Ketan Anand,"Kishen Kumar, Tanya Singh, Shammi Kapoor, Pran",Romance,,1993,,,
Aakhri Chetawani,Deva Dutta,"Sadashiv Amrapurkar, Raj Babbar, Shakti Kapoor",,,1993,,,
Andhaa Inteqaam,Swaroop Kumar,"Siddharth, Shanti Priya, Ronit Roy",Action,,1993,,,
Aankhen,David Dhawan,"Govinda, Chunky Pandey, Ritu Shivpuri, Shilpa Shirodkar",Comedy,,1993,,,
Aashiq Awara,Umesh Mehra,"Saif Ali Khan, Mamta Kulkarni",Romance,,1993,,,
Aasoo Bane Angaarey,Mehul Kumar,"Bindu, Jeetendra, Madhuri Dixit",Drama,,1993,,,
Anari,K. Muralimohana Rao,"Karisma Kapoor, Daggubati Venkatesh",,,1993,,,
Andha Insaaf,,Divya Bharti,,,1993,,,
Anmol,Ketan Desai,"Rishi Kapoor, Manisha Koirala",,,1993,,,
Antim Nyay,Sukhwant Dhadda,"Arun Bakshi, C.S. Dubey, Sundeep Kashyap",,,1993,,,
Ashaant,Kavita Ramsay,"Akshay Kumar, Ashwini Bhave, Dr. Vishnuvardhan, Pankaj Dheer, Mamta Kulkarni",,,1993,,,
Aulad Ke Dushman,Rajkumar Kohli,"Raj Babbar, Ayesha Jhulka, Armaan Kohli, Kanchan",Drama,,1993,,,
Baaghi Sultana,R. Thakur,"Puneet Issar, Shakti Kapoor, Arif Khan",,,1993,,,
Baazigar,Abbas-Mustan,"Shah Rukh Khan, Kajol, Shilpa Shetty, Johnny Lever, Rakhee Gulzar",Thriller,,1993,,,
Badi Bahen,Kalpataru,"Asrani, Raj Babbar, Chandrashekhar",,,1993,,,
Balmaa,Lawrence D'Souza,"Saeed Jaffrey, Ayesha Jhulka, Anjana Mumtaz",Romance,,1993,,,
Bechain,Kawal Sharma,"Sidhant Salaria, Malvika Tiwari, Raza Murad",,,1993,,,
Bedardi,Krishnakant Pandya,"Ajay Devgn, Urmila Matondkar, Reena Roy","Action, Crime",,1993,,,
Bhagyawan,S.K. Subash,"Govinda, Juhi Chawla, Pran, Asha Parekh, Aruna Irani, Ranjeet",,,1993,,,
Bhaji on the Beach,Gurinder Chadha,"Kim Vithana, Jimmi Harkishin, Sarita Khajuria",Comedy,,1993,,,
Bhookamp,Gautam Adhikari,"Jeetendra, Mohan Joshi, Mamta Kulkarni","Action, Drama, Family, Romance",,1993,,,
Bomb Blast,Deepak Balraj Vij,"Ronit Roy, Aditya Pancholi, Kishori Shahane",,,1993,,,
Boy Friend,Ramesh U. Lakhiani,"Sheeba, Ravi Behl, Kiran Kumar",Romance,,1993,,,
Chahoonga Main Tujhe,Kamal,Harish Patel,,,1993,,,
Chandra Mukhi,Debaloy Dey,"Salman Khan, Sridevi, Pran",,,1993,,,
Chooriyan,Sai Paranjape,,,,1993,,,
Chor Aur Chaand,Pavan Kaul,"Aditya Pancholi, Pooja Bhatt, Aruna Irani",,,1993,,,
Dalaal,Partho Ghosh,"Mithun Chakraborty, Ayesha Jhulka, Ravi Behl, Indrani Banerjee, Shakti Kapoor","Drama, Family",,1993,,,
Damini – Lightning,Rajkumar Santoshi,"Meenakshi Seshadri, Sunny Deol, Rishi Kapoor",Drama,,1993,,,
Darr,Yash Chopra,"Sunny Deol, Juhi Chawla, Shah Rukh Khan, Anupam Kher",Thriller,,1993,,,
Dhanwaan,K. Vishwanath,"Ajay Devgn, Karishma Kapoor, Manisha Koirala","Romance, Drama",,1993,,,
Dharavi,Sudhir Mishra,"Shabana Azmi, Om Puri, Madhuri Dixit, Anil Kapoor",,,1993,,,
Dhartiputra,Iqbal Durrani,"Jaya Pradha, Rishi Kapoor",,,1993,,,
Dil Hai Betaab,K. C. Bokadia,"Ajay Devgn, Vivek Mushran, Pratibha Sinha",Romance,,1993,,,
Dil Ki Baazi,Anil Ganguly,"Akshay Kumar, Ayesha Jhulka",,,1993,,,
Dil Tera Aashiq,Lawrence d'Souza,"Salman Khan, Madhuri Dixit","Romance, Comedy",,1993,,,
Divya Shakti,Sameer Malkan,"Ajay Devgn, Raveena Tandon",Action,,1993,,,
Dosti Ki Saugandh,Mohanji Prasad,"Shakti Kapoor, Shammi Kapoor, Kader Khan, Pran",,,1993,,,
Ek Hi Raasta,Deepak Bahry,"Ajay Devgn, Raveena Tandon","Action, Adventure, Family, Thriller",,1993,,,
Game,,"Naseeruddin Shah, Aditya Pancholi, Rahul Roy, Sangeeta Bijlani","Action, Crime, Drama",,1993,,,
Gardish,Priyadarshan,"Jackie Shroff, Raj Babbar, Dimple Kapadia, Annu Kapoor","Crime, Drama",,1993,,,
Geetanjali,Shakti Samanta,"Jeetendra, Rekha, Vijay Arora",Drama,,1993,,,
Ghar Aaya Mera Pardesi,Ravindra Peepat,"Bhagyashree, Vikram Gokhale, Gulshan Grover","Action, Drama, Romance",,1993,,,
Ghar Ki Laaj,Kalpataru,,,,1993,,,
Gumrah,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher","Action, Crime, Drama, Thriller",,1993,,,
Gunaah,Mahesh Bhatt,"Sunny Deol, Dimple Kapadia, Sumeet Saigal",,,1993,,,
Gurudev,Vinod Mehra,"Rishi Kapoor, Sridevi, Anil Kapoor, Pran",Romance,,1993,,,
Hasti,,"Jackie Shroff, Naseeruddin Shah, Nagma",Action,,1993,,,
Hum Hain Kamaal Ke,Vijay Reddy,"Sheeba, Sujoy Mukherjee, Kader Khan","Action, Comedy, Crime, Drama",,1993,,,
Hum Hain Rahi Pyar Ke,Mahesh Bhatt,"Aamir Khan, Juhi Chawla",Romance,,1993,,,
In Custody,Ismail Merchant,"Om Puri, Shashi Kapoor",,,1993,,,
Insaniyat Ke Devta,K. C. Bokadia,"Vikas Anand, Rakesh Bedi, Rita Bhaduri","Action, Crime, Drama, Romance",,1993,,,
Izzat Ki Roti,K. Pappu,"Urmila Bhatt, Birbal, Juhi Chawla","Drama, Family",,1993,,,
Jeevan Ki Shatranj,S.A. Chandrashekhar,"Mithun Chakraborty, Farah Naaz","Action, Crime, Drama, Romance",,1993,,,
Kala Coat,Mehmood Khan,"Tom Alter, Master Bhagwan, Khalil Bhukhari","Action, Crime, Drama, Romance",,1993,,,
Kasam Teri Kasam,Raman Kumar,"Krishna Kumar, Kanchan, Kunika",Romance,,1993,,,
Kayda Kanoon,Pradeep Mani,"Akshay Kumar, Shikha Swaroop",,,1993,,,
Khal-Naaikaa,,"Jeetendra, Jaya Pradha, Anu Agrawal","Crime, Drama, Thriller",,1993,,,
Khalnayak,Subhash Ghai,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Rakhee Gulzar","Action, Drama",,1993,,,
Khoon Ka Sindoor,Amrish Sehgal,"Siddharth, Upasna Singh, Kunika",,,1993,,,
King Uncle,Rakesh Roshan,"Jackie Shroff, Shah Rukh Khan, Niveditha Saraf",Drama,,1993,,,
Kohraa,Partho Ghosh,"Arman Kohli, Ayesha Jhulka, Pran","Mystery, Thriller",,1993,,,
Krishan Avtaar,Ashok Gaikwad,"Mithun Chakraborty, Somy Ali, Hashmat Khan",Action,,1993,,,
Kshatriya,J. P. Dutta,"Sunil Dutt, Dharmendra, Vinod Khanna, Sanjay Dutt, Sunny Deol",Action,,1993,,,
Kundan,K. C. Bokadia,"Dharmendra, Jaya Pradha, Amrish Puri",Drama,,1993,,,
Lootere,Dharmesh Darshan,"Pooja Bedi, Juhi Chawla, Sunny Deol","Action, Drama, Musical, Romance",,1993,,,
Mahakaal,Ramsay Bros,"Karan Shah, Archana Puran Singh, Johnny Lever",Horror,,1993,,,
Maya[disambiguation needed],Ketan Mehta,"Deepa Sahi, Farooq Shaikh, Raj Babbar","Drama, Mystery, Romance",,1993,,,
Maya Memsaab,Ketan Mehta,"Deepa Sahi, Farooq Sheikh, Shahrukh Khan",Romance,,1993,,,
Meharbaan,,"Sadashiv Amrapurkar, Mithun Chakraborty, Ayesha Jhulka",,,1993,,,
Meri Aan,Roopesh Kumar,"Chandrashekhar, Sanjay Dutt, Farheen","Drama, Family, Romance",,1993,,,
Muqabla,T. Rama Rao,"Govinda, Karisma Kapoor, Farah Naaz","Action, Crime, Drama, Thriller",,1993,,,
Papeeha,Sai Paranjape,"Milind Gunaji, Veeni Paranjape Joglekar, Raghuvir Yadav",,,1993,,,
Pardesi,Raj N. Sippy,"Mithun Chakraborty, Sumalatha, Pankaj Dheer, Shakti Kapoor",Action,,1993,,,
Patang,Goutam Ghose,"Shabana Azmi, Shafiq Syed, Om Puri",Drama,,1993,,,
Pehchaan,Deepak Shivdasani,"Sunil Shetty, Saif Ali Khan, Shilpa Shirodkar, Madhoo","Romance, Drama",,1993,,,
Pehla Nasha,,"Deepak Tijori, Pooja Bhatt, Raveena Tandon",,,1993,,,
Phir Teri Kahani Yaad Aayee,Mahesh Bhatt,"Pooja Bhatt, Rahul Roy, Pooja Bedi","Romance, Drama",,1993,,,
Phool,Singeetham Srinivasa Rao,"Madhuri Dixit, Kumar Gaurav, Sunil Dutt, Rajkumar",,,1993,,,
Phool Aur Angaar,Ashok Gaekwad,"Mithun Chakraborty, Shantipriya",,,1993,,,
Phoolan Hasina Ramkali,Kanti Shah,"Kirti Singh, Sudha Chandran, Tahir Khan",,,1993,,,
Platform,Deepak Pawar,"Ajay Devgn, Tisca Chopra, Priya","Action, Family",,1993,,,
Police Wala,Sikander Bharti,"Arun Bakshi, Shakti Kapoor, Viju Khote",,,1993,,,
Prateeksha,Lawrence D'Souza,"Vikas Anand, Master Bunty, Chandrashekhar","Action, Crime",,1993,,,
Pratimurti,Bimal Dutt,"Raakhee, Rajendra Gupta, Sadhu Meher",,,1993,,,
Professor Ki Padosan,S.L. Soni,"Sanjeev Kumar, Padmini Kolhapure, Shekhar Suman",,,1993,,,
Pyaar Ka Tarana,Dev Anand,"Manu Gargi, Anita Ayoob, Akshay Anand",,,1993,,,
Pyar Pyar,Sunil R. Prasad,"Beena Banerjee, Sujoy Mukherjee, Rajeshwari Sachdev, Kiran Kumar, Paresh Rawal, Viju Khote",,,1993,,,
Rajdhani,,Kodi Ramakrishna,,,1993,,,
Rang,Talat Jani,"Kamal Sadanah, Divya Bharti, Jeetendra, Amrita Singh,",,,1993,,,
Rani Aur Maharani,Kanti Shah,"Ishrat Ali, Sadashiv Amrapurkar, Damini",,,1993,,,
Raunaq,Bobby Tappia,"Priyanka, Neeraj Kumar, Subbiraj",,,1993,,,
Roop Ki Rani Choron Ka Raja,Satish Kaushik,"Anil Kapoor, Sridevi, Anupam Kher, Paresh Rawal, Jackie Shroff",Drama,,1993,,,
Rudaali,Kalpana Lajmi,"Dimple Kapadia, Raakhee, Amjad Khan",Drama,,1993,,,
Sadhna,K. Ravi Shankar,"Raj Babbar, Krishan Dhawan, Mangal Dhillon",Drama,,1993,,,
Sahibaan,Ramesh Talwar,"Rishi Kapoor, Sanjay Dutt, Madhuri Dixit","Romance, Drama",,1993,,,
Sainik,Sikander Bhartee,"Akshay Kumar, Ashwini Bhave, Farheen",,,1993,,,
Sangraam,Lawrence D'Souza,"Ajay Devgn, Ayesha Jhulka, Karisma Kapoor","Drama, Romance",,1993,,,
Santaan,Narayana Rao Dasari,"Jeetendra, Moushumi Chatterjee, Deepak Tijori",,,1993,,,
Sardar,Ketan Mehta,Paresh Rawal,"Biography, Drama",,1993,,,
Shaktiman,K. C. Bokadia,"Ajay Devgn, Karisma Kapoor, Mukesh Khanna","Action, Crime, Drama, Romance",,1993,,,
Shatranj,Aziz Sajawal,"Jackie Shroff, Divya Bharti, Juhi Chawla, Mithun Chakraborty, Kader Khan","Comedy, Drama, Romance",,1993,,,
Shiv Teri Mahima Nyari,Suresh Sinh Gohil,Lalita Pawar,,,1993,,,
Shreemaan Aashique,Deepak Anand,"Rishi Kapoor, Urmila Matondkar, Bindu",Comedy,,1993,,,
Sir,Mahesh Bhatt,"Naseeruddin Shah, Pooja Bhatt, Atul Agnihotri","Crime, Drama",,1993,,,
Tadipaar,Mahesh Bhatt,"Mithun Chakraborty, Pooja Bhatt, Anupam Kher",,,1993,,,
Tahqiqaat,A. Jagannath,"Jeetendra, Aditya Pancholi, Laxmikant Berde",Crime,,1993,,,
Tum Karo Vaada,Robin Khosla,"Anaida, Birbal, Shammi Kapoor",Romance,,1993,,,
Veerta,Shibu Mitra,"Prasenjit Chatterjee, Prem Chopra, Sunny Deol",,,1993,,,
Waqt Hamara Hai,Bharat Rangachary,"Akshay Kumar, Sunil Shetty, Ayesha Jhulka, Mamta Kulkarni","Action, Romance",,1993,,,
Yugandhar,N. Chandra,"Mithun Chakraborty, Kabir Bedi, Sangeeta Bijlani",,,1993,,,
Zakhmi Rooh,Pawan Kumar,"Moon Moon Sen, Javed Jaffrey, Raj Kiran",,,1993,,,
Zakhmo Ka Hisaab,Talukdaars,"Govinda, Farah Naaz, Kiran Kumar","Action, Crime, Drama",,1993,,,
1942: A Love Story,Vidhu Vinod Chopra,"Anil Kapoor, Manisha Koirala, Jackie Shroff, Anupam Kher, Pran, Danny Denzongpa","Romance, Social",,1994,,,
Aa Gale Lag Jaa,Hamid Ali Khan,"Jugal Hansraj, Urmila Matondkar, Ajit Khan, Ishrat Ali",Romance,,1994,,,
Aag,K. Ravi Shankar,"Shilpa Shetty, Govinda, Sonali Bendre",Romance,,1994,,,
Aag Andhi Aur Toofan,Kanti Shah,,,,1994,,,
Aag Aur Chingari,Kanti Shah,"Asrani, Shakti Kapoor, Ravi Kishan",,,1994,,,
Aaja Re O Sajana,,,,,1994,,,
Aaja Sanam,,,,,1994,,,
Aao Pyaar Karen,Ravendra Peepat,"Saif Ali Khan, Shilpa Shetty, Somy Ali","Drama, Romance",,1994,,,
Aatish: Feel the Fire,Sanjay Gupta,"Sanjay Dutt, Karisma Kapoor, Raveena Tandon",,,1994,,,
Ab To Aaja Saajan Mere,Rakesh A. Nahata,"Arvind Joshi, Shalini Kapoor, Roma Manik","Drama, Romance",,1994,,,
Amanaat,Raj N Sippy,"Sanjay Dutt, Heera Rajgopal, Akshay Kumar","Action, Adventure",,1994,,,
Andaz,David Dhawan,"Anil Kapoor, Juhi Chawla, Karisma Kapoor","Action, Comedy, Crime, Drama",,1994,,,
Andaz Apna Apna,Rajkumar Santoshi,"Aamir Khan, Salman Khan, Raveena Tandon, Karishma Kapoor, Paresh Rawal, Shakti Kapoor, Viju Khote",Comedy,,1994,,,
Anjaam,Rahul Rawail,"Shah Rukh Khan, Madhuri Dixit, Deepak Tijori, Kiran Kumar","Drama, Thriller",,1994,,,
Anokha Premyudh,,"Arun Pandian, Aruna Irani, Shakti Kapoor","Comedy, Drama, Family, Romance",,1994,,,
Anth,Sanjay Khanna,"Sunil Shetty, Somy Ali",Action,,1994,,,
Aranyaka,Apurba Kishore Bir,"Mohan Gokhale, Sanjana Kapoor, Navni Parihar",,,1994,,,
Baali Umar Ko Salaam,Vasant R. Patel,"Kamal Sadanah, Beena Banerjee, Tisca Chopra","Action, Comedy, Drama",,1994,,,
Bandit Queen,Shekhar Kapur,"Seema Biswas, Nirmal Pandey","Biography, Social",,1994,,,
Beta Ho To Aisa,C.P. Dixit,"Govinda, Raza Murad, Gulshan Grover, Varsha Usgaonkar, Asrani",,,1994,,,
Betaaj Badshah,Iqbal Durrani,"Raaj Kumar, Shatrughan Sinha, Jay Mehta",,,1994,,,
Brahma,K. Subhash,"Govinda, Madhoo, Ayesha Jhulka",,,1994,,,
Chaand Kaa Tukdaa,Saawan Kumar,"Sridevi, Salman Khan","Action, Comedy, Drama",,1994,,,
Chauraha,Sadaqat Hussein,"Jeetendra, Jackie Shroff, Jayapradha",,,1994,,,
Cheetah,Harmesh Malhotra,"Mithun Chakraborty, Ashwini Bhave",,,1994,,,
