Title,Director,Cast,Genre,Sources,Year,Source,Composer,Music director
Taqdeer Ka Badshah,Babbar Subhash,"Mithun Chakraborty, Ranjeeta Kaur, Amjad Khan, Pran",,,1982,,,
Teesri Aankh,Subodh Mukerji,"Dharmendra, Shatrughan Sinha, Zeenat Aman","Action, Thriller",,1982,,,
Teri Kasam,A. C. Tirulokchandar,"Kumar Gaurav, Poonam Dhillon",Romance,,1982,,,
Teri Maang Sitaron Se Bhar Doon,Raj Khosla,"Nutan, Padmini Kolhapure, Raj Kiran",Family,,1982,,,
Thirst,O.P. Ralhan,"Zeenat Aman, Anju Mahendru, Madan Puri",,,1982,,,
Tumhare Bina,Satyen Bose,"Suresh Oberoi, Swaroop Sampat, Master Ravi","Drama, Family",,1982,,,
Umbartha,Jabbar Patel,"Smita Patil, Girish Karnad, Shrikant Moghe",Drama,,1982,,,
Ustadi Ustad Se,Deepak Bahry,"Mumtaz Begum, Master Bhagwan, Master Bittoo","Action, Crime, Drama, Romance",,1982,,,
Vakil Babu,Asit Sen,"Zeenat Aman, Raj Kapoor, Shashi Kapoor",,,1982,,,
Vidhaata,Subhash Ghai,"Dilip Kumar, Sanjay Dutt, Shammi Kapoor, Sanjeev Kumar",Drama,,1982,,,
Vijeta,Govind Nihalani,"Shashi Kapoor, Rekha, Supriya Pathak",Drama,,1982,,,
Waqt Ke Shehzade,Kukoo Kapoor,"Rati Agnihotri, Aruna Irani, Kalpana Iyer",Musical,,1982,,,
Waqt-Waqt Ki Baat,Santosh Saroj,"Rameshwari, Rakesh Roshan",,,1982,,,
Yeh Nazdeekiyan,Vinod Pande,"Marc Zuber, Shabana Azmi, Parveen Babi","Drama, Romance",,1982,,,
Yeh To Kamaal Ho Gaya,T. Rama Rao,"Vijay Arora, Kumud Bole, Suresh Chatwal","Action, Comedy, Drama",,1982,,,
Yeh Vaada Raha,Kapil Kapoor,"Rishi Kapoor, Poonam Dhillon, Tina Munim, Raakhee Gulzhar, Shammi Kapoor","Musical, Drama, Romance",,1982,,,
Zakhmee Insaan,Deepak Balraj Vij,Javed Khan,,,1982,,,
Aao Pyaar Karen,Prakash Verma,"Benjamin Gilani, Radhika Barkatke, Amrit Patel",Romance,,1983,,,
Achha Bura,Hrishikesh Mukherjee,"Raj Babbar, Anita Raj, Amjad Khan",World Cinema,,1983,,,
Agar Tum Na Hote,Lekh Tandon,"Rajesh Khanna, Rekha, Raj Babbar","Drama, Family",,1983,,,
Agent 123,Gita Priya,"Baby Indira, Master Ram Krishna, Bhanu Prakash",Thriller,,1983,,,
Andha Kanoon,T. Rama Rao,"Rajnikanth, Hema Malini, Reena Roy, Amitabh Bachchan, Pran",Drama,,1983,,,
Ardh Satya,Govind Nihalani,"Om Puri, Smita Patil, Amrish Puri, Sadashiv Amrapurkar","Crime, Drama",,1983,,,
Arohan,Shyam Benegal,"Victor Banerjee, Noni Ganguly, Pankaj Kapur",Drama,,1983,,,
Arpan,J. Om Prakash,"Jeetendra, Reena Roy, Parveen Babi","Drama, Family",,1983,,,
Ashray,Biplab Roy Chowdhury,,,,1983,,,
Avtaar,Mohan Kumar,"Rajesh Khanna, Shabana Azmi, Sachin, Gulshan Grover, A. K. Hangal","Family, Drama",,1983,,,
Bade Dil Wala,Bhappi Sonie,"Rishi Kapoor, Tina Munim, Sarika, Pran","Drama, Action, Crime, Family, Romance",,1983,,,
Bandhan Kuchchey Dhaagon Ka,Anil Sharma,"Shashi Kapoor, Zeenat Aman, Raakhee Gulzar","Drama, Family",,1983,,,
Bekaraar,Rajendra Prasad V.B.,"Asrani, Mohnish Bahl, Mohan Choti",,,1983,,,
Bekhabar,Kedar Kapoor,,,,1983,,,
Betaab,Rahul Rawail,"Sunny Deol, Amrita Singh, Nirupa Roy, Shammi Kapoor, Prem Chopra",Romance,,1983,,,
Chatpati,V. Ravindra,"Smita Patil, Raj Kiran, Reema Lagoo",Comedy,,1983,,,
Chor Police,Amjad Khan,"Shatrughan Sinha, Parveen Babi, Vinod Mehra, Shakti Kapoor, Ashok Kumar","Action, Crime, Drama",,1983,,,
Coolie,Manmohan Desai,"Amitabh Bachchan, Waheeda Rehman, Rishi Kapoor, Rati Agnihotri, Kadar Khan",Action,,1983,,,
Dard-E-Dil,Suraj Prakash,"Mukesh Khanna, Zarina Wahab, Shashikala",Action,,1983,,,
Daulat Ke Dushman,Bimal Rawal,"Shatrughan Sinha, Vinod Khanna, Manjushree, Pran",Action,,1983,,,
Dhat Tere... Ki,Meraj,"Ravi Baswani, Abhi Bhattacharya, Akhil Mishra",,,1983,,,
Do Gulab,Durai,"Vijay Arora, Rakesh Bedi, Dilip Dhawan","Drama, Romance",,1983,,,
Doosri Dulhan,Lekh Tandon,"Victor Banerjee, Sharmila Tagore, Shabana Azmi","Drama, Family",,1983,,,
Du-Janay,Ardhendu Chatterjee,,,,1983,,,
Ek Baar Chale Aao,Jagdish Saldanah,"Farooq Shaikh, Deepti Naval, Girish Karnad",,,1983,,,
Ek Din Bahu Ka,Desh Gautam,"Vijay Arora, Saeed Jaffrey, Suresh Oberoi",Drama,,1983,,,
Ek Jaan Hain Hum,Rajiv Mehra,"Rakesh Bedi, Avtar Gill, Gulshan Grover, Pran","Family, Romance",,1983,,,
Faraib,Rajat Rakshit,"Mithun Chakraborty, Ranjeeta Kaur",,,1983,,,
Fareb,Tej Sapru,,,,1983,,,
Film Hi Film,Hiren Nag,"Pran, Ramesh Deo, Seema Deo","Comedy, Drama, Musical, Romance",,1983,,,
Ganga Meri Maa,Shyam Ralhan,"Danny Denzongpa, Iftekhar, Sujit Kumar",,,1983,,,
Gehri Chot - Urf: Durdesh,Ambrish Sangal,"Shashi Kapoor, Sharmila Tagore, Parveen Babi, Raj Babbar, Nadeem","Action, Crime, Drama",,1983,,,
Ghungroo,Ram Sethi,"Smita Patil, Shashi Kapoor, Kunal Goswami",Family,,1983,,,
Godam,Dilip Chitre,"Satyadev Dubey, K.K. Raina, Trupti",Drama,,1983,,,
Greed,Shankar Nag,Vinod Mehra,,,1983,,,
Haadsa,Akbar Khan,"Akbar Khan, Ranjeeta Kaur, Smita Patil","Action, Thriller",,1983,,,
Hero,Subhash Ghai,"Jackie Shroff, Meenakshi Sheshadri, Shammi Kapoor, Shakti Kapoor",Action,,1983,,,
Himmatwala,T. Rama Rao,"Jeetendra, Sridevi",Drama,,1983,,,
Hum Se Hai Zamana,Deepak Bahry,"Zeenat Aman, Major Anand, Beena Bawa",,,1983,,,
Humse Na Jeeta Koi,Shibu Mitra,"Shoma Anand, Birbal, Mohan Choti",,,1983,,,
Jaane Bhi Do Yaaro,Kundan Shah,"Naseeruddin Shah, Om Puri, Ravi Baswani",Comedy,,1983,,,
Jaani Dost,K. Raghavendra Rao,"Dharmendra, Jeetendra, Parveen Babi, Sridevi","Action, Comedy, Crime, Drama, Romance",,1983,,,
Jai Baba Amarnath,B. R. Ishara,"Mohan Choti, Vikram Makandar",,,1983,,,
Jeet Hamaari,R. Thyagarajan,"Rakesh Roshan, Rajnikanth, Ranjeeta Kaur",Action,,1983,,,
Jeevan Sukh,,Praveen Paul,,,1983,,,
Justice Chaudhury,K. Raghavendra Rao,"Jeetendra, Hema Malini, Sridevi","Action, Drama, Family, Comedy",,1983,,,
Kaise Kaise Log,D.S. Azad,"Rohini Hattangadi, Ayesha Jhulka, Goga Kapoor",,,1983,,,
Kalakar,P. Sambasiva Rao,"Kunal Goswami, Sridevi, Rakesh Bedi","Family, Romance",,1983,,,
Kalka,,"Mazhar Khan, Paintal, Shatrughan Sinha",,,1983,,,
Karate,Deb Mukherjee,"Mithun Chakraborty, Deb Mukherjee, Mazhar Khan, Yogeeta Bali, Kaajol Kiran",Action,,1983,,,
Kashmira,Sukhdev Ahluwalia,,,,1983,,,
Katha,Sai Paranjape,"Naseeruddin Shah, Farooq Shaikh, Deepti Naval","Comedy, Drama",,1983,,,
Kaun? Kaisey?,,"Bina, Ardhendu Bose, Mithun Chakraborty",Crime,,1983,,,
Kaya Palat,Satyen Bose,Ashok Kumar,,,1983,,,
Kissi Se Na Kehna,Hrishikesh Mukherjee,"Farooq Shaikh, Deepti Naval, Utpal Dutt",Comedy,,1983,,,
Lalach,Shankar Nag,"Vinod Mehra, Bindiya Goswami, Ranjeet, Pran",,,1983,,,
Lal Chunariyaa,Sudarshan Lal,"Minaxi Anand, Mithun Chakraborty, Dulari","Action, Drama",,1983,,,
Log Kya Kahenge,B.R. Ishara,"Navin Nischol, Shabana Azmi, Shatrughan Sinha",Family,,1983,,,
Lovers,Bharathi Raja,"Kumar Gaurav, Padmini Kolhapure, Rakesh Bedi","Comedy, Drama, Romance",,1983,,,
Love in Goa,Hersh Kohli,"Ashok Kumar, Om Prakash, Mayur Verma",,,1983,,,
Mahaan,S. Ramanathan,"Amitabh Bachchan, Waheeda Rehman, Parveen Babi, Zeenat Aman, Amjad Khan, Shakti Kapoor","Action, Drama",,1983,,,
Main Awara Hoon,Ashim S. Samanta,"Sanjay Dutt, Raj Babbar, Jayapradha","Drama, Family",,1983,,,
Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah","Comedy, Drama",,1983,,,
Mangal Pandey,Harmesh Malhotra,"Ranjit Sood, Ajit Khan, Harbans Darshan M. Arora","Action, Crime, Thriller, Drama",,1983,,,
Masoom,Shekhar Kapur,"Naseeruddin Shah, Shabana Azmi, Urmila Matondkar, Jugal Hansraj",Drama,,1983,,,
Mawaali,T. Rama Rao,"Jeetendra, Sridevi, Jayapradha, Kadar Khan, Prem Chopra, Shakti Kapoor",Drama,,1983,,,
Mazdoor,Ravi Chopra,"Dilip Kumar, Raj Babbar, Padmini Kolhapure, Rati Agnihotri",Drama,,1983,,,
Mehndi,Asit Sen,"Vinod Mehra, Raj Babbar, Ranjeeta Kaur",,,1983,,,
Mujhe Insaaf Chahiye,T. Rama Rao,"Mithun Chakraborty, Rekha, Rati Agnihotri",Drama,,1983,,,
Mujhe Vachan Do,Shibu Mitra,,,,1983,,,
Nastik,Pramod Chakravorty,"Amitabh Bachchan, Hema Malini, Pran",Action,,1983,,,
Naukar Biwi Ka,Rajkumar Kohli,"Dharmendra, Reena Roy, Pran, Raj Babbar, Anita Raj, Om Prakash, Kader Khan, Vinod Mehra",Drama,,1983,,,
Nishaan,"Surendra Mohan, Late Shri Sikander Khanna","Rajesh Khanna, Jeetendra, Rekha","Action, Drama, Family, Musical, Romance",,1983,,,
Painter Babu,Ashok,"Rajiv Goswami, Meenakshi Sheshadri, Neelima",Romance,,1983,,,
Pasand Apni Apni,Basu Chatterji,"Mithun Chakraborty, Rati Agnihotri, Utpal Dutt",Comedy,,1983,,,
Prem Tapasya,Dasari Narayana Rao,"Jeetendra, Rekha, Reena Roy","Drama, Family",,1983,,,
Pukar,Ramesh Behl,"Amitabh Bachchan, Randhir Kapoor, Zeenat Aman, Tina Munim",Drama,,1983,,,
Pyaasi Aankhen,Ram Kelkar,"Shabana Azmi, Amol Palekar, Waheeda Rehman",,,1983,,,
Qayamat,Raj Sippy,"Dharmendra, Shatrughan Sinha, Jayapradha","Action, Drama",,1983,,,
Raaste Aur Rishte,,"Mazhar Khan, Priyadarshini",,,1983,,,
Rachna,Sathish,"Beena Banerjee, Jezebel, Anil Kapoor",Family,,1983,,,
Rang Birangi,Hrishikesh Mukherjee,"Amol Palekar, Parveen Babi, Farooq Shaikh",Comedy,,1983,,,
Rishta Kagaz Ka,Ajay Goel,"Nutan, Raj Babbar, Rati Agnihotri","Drama, Musical",,1983,,,
Romance,Ramanand Sagar,"Poonam Dhillon, Kumar Gaurav, Shammi Kapoor",Romance,,1983,,,
Sadma,Balu Mahendra,"Kamal Hassan, Sridevi, Gulshan Grover, Silk Smitha",Romance,,1983,,,
Sant Ravidas Ki Amar Kahani,Babubhai Mistri,,,,1983,,,
Sati Naag Kanya,Babubhai Mistri,"Neera, Vikram Gokhale, Manher Desai","Drama, Adventure, Action, Fantasy",,1983,,,
Shubh Kaamna,K. Vishwanath,"Rati Agnihotri, Asrani, Utpal Dutt","Comedy, Drama",,1983,,,
Sookha,M.S. Sathyu,Anant Nag,,,1983,,,
Souten,Sawan Kumar Tak,"Rajesh Khanna, Padmini Kolhapure, Tina Munim, Prem Chopra, Pran",,,1983,,,
Sun Meri Laila,Chander Bahl,"Birbal, Deepika, Iftekhar",Romance,,1983,,,
Sweekar Kiya Maine,Zaheer D. Lari,"Vinod Mehra, Shabana Azmi, Prema Narayan","Comedy, Drama",,1983,,,
Talabandi,Sunil Chadha,"Neelam Mehra, Javed Khan, Pushpa Soni",Action,,1983,,,
Taqdeer,Birj,"Shatrughan Sinha, Mithun Chakraborty, Hema Malini, Zeenat Aman","Action, Crime, Drama, Romance",,1983,,,
Tum Laut Aao,Bhimsain,"Ravi Baswani, Kavita Chaudhary, Karan Razdan",,,1983,,,
Woh Jo Hasina,Deepak Bahry,"Mithun Chakraborty, Ranjeeta Kaur, Pran",Romance,,1983,,,
Woh Saat Din,Bapu,"Anil Kapoor, Padmini Kolhapure, Naseeruddin Shah, Master Raju",Drama,,1983,,,
Yahan Se Shehar Ko Dekho,Mahendra Sandhu,,,,1983,,,
Zakhmi Dil,B. S. Shaad,"Dharmendra, Daljit Kaur, Manorama",,,1983,,,
Zara Si Zindagi,K. Balachander,"Kamal Hassan, Anita Raj, Nilu Phule","Drama, Family",,1983,,,
Zulf Ke Saye Saye,Anand Sagar,,,,1983,,,
Aaj Ka M.L.A. Ram Avtar,Narayana Rao Dasari,"Rajesh Khanna, Shabana Azmi, Deven Verma","Action, Drama",,1984,,,
Aaj Ki Awaaz,Ravi Chopra,"Raj Babbar, Smita Patil, Rashmi Chauhan","Action, Drama, Crime",,1984,,,
Aakhri Sangram,Thaayillamal Naan Illai,"Kamal Hassan, Madhu Malini, Rajinikanth",,,1984,,,
Aan Aur Shaan,Ravi Tandon,"Rishi Kapoor, Shammi Kapoor, Ranjeet",Drama,,1984,,,
Aasmaan,Tony,"Mukul Agarwal, Bhola, Birbal",,,1984,,,
Ab Ayega Mazaa,Pankaj Parashar,"Ravi Baswani, Raja Bundela, Pavan Malhotra",Comedy,,1984,,,
Abodh,Hiren Nag,"Mohan Choti, Sheela David, Madhuri Dixit, Tapas Paul",,,1984,,,
Akalmand,N.S. Rajbharath,"Ashok Kumar, Jeetendra, Sridevi, Ashok Kumar","Comedy, Romance",,1984,,,
All Rounder,Mohan Kumar,"Kumar Gaurav, Rati Agnihotri","Action, Drama",,1984,,,
Anand Aur Anand,Dev Anand,"Dev Anand, Suneil Anand, Raj Babbar","Family, Drama, Romance",,1984,,,
Andar Baahar,Raj N. Sippy,"Beena Banerjee, Danny Denzongpa, Gulshan Grover","Action, Thriller",,1984,,,
Andhi Gali,Buddhadeb Dasgupta,"Deepti Naval, Mahesh Bhatt, Vikas Desai","Drama, Thriller",,1984,,,
Apna Bhi Koi Hota,Girish Ranjan,"Kavita, Sunil Pandey, Seema Deo",,,1984,,,
Asha Jyoti,Narayana Rao Dasari,"Rajesh Khanna, Reena Roy, Rekha","Drama, Family, Romance",,1984,,,
Aurat Ka Inteqam,B.R. Ishara,Vinod Mehra,,,1984,,,
Awaaz,Shakti Samanta,"Rajesh Khanna, Jayapradha, Rakesh Roshan","Action, Crime, Drama",,1984,,,
Bad Aur Badnaam,Feroz Chinoy,"Anita Raj, Shreeram Lagoo, Parveen Babi","Family, Thriller",,1984,,,
Bhavna,Pravin Bhatt,"Shabana Azmi, Marc Zuber, Saeed Jaffrey",Drama,,1984,,,
Bhemaa,,"Brahm Bhardwaj, Bharat Bhushan, Birbal","Action, Crime, Drama",,1984,,,
Bhookha Sher,,"Manorama, Rajinikanth, Seema",Action,,1984,,,
Bindiya Chamkegi,Tarun Dutt,"Rekha, Vinod Mehra, Johnny Walker","Comedy, Family",,1984,,,
Boxer,Raj N. Sippy,"Tanuja, Mithun Chakraborty, Rati Agnihotri","Action, Crime, Drama, Adventure",,1984,,,
Captain Barry,Surjit Gill,"Kalpana Iyer, Mac Mohan, Priyadarshinee",,,1984,,,
Chandani Bani Chudel,R. Mittal,"Vijay Solanki, Reena Kapoor, Nisha","Drama, Horror",,1984,,,
Dharm Aur Qanoon,Joshi,"Rajesh Khanna, Dharmendra, Vinod Mehra","Adventure, Crime, Thriller",,1984,,,
Dhokebaaz,Chand,"Ranjeeta Kaur, Amjad Khan, Prema Narayan",Action,,1984,,,
Dilawar,,"Kim Yashpal, Sachin Pilgaonkar",,,1984,,,
Divorce,,"Sharmila Tagore, Girish Karnad, Abhi Bhattacharya","Romance, Drama",,1984,,,
Duniya,Ramesh Talwar,"Dilip Kumar, Rishi Kapoor, Amrita Singh, Amrish Puri, Pran",,,1984,,,
Ek Nai Paheli,K. Balachander,"Raaj Kumar, Hema Malini, Kamal Hassan",,,1984,,,
Ek Naya Itihas,,"Satyendra Kapoor, Hema Malini, Vinod Mehra",,,1984,,,
Ek Swaal Munni Ka,Balwant Dullat,,,,1984,,,
Farishta,Sunil Sikand,"Ashok Kumar, Kanwaljit Singh, Smita Patil, Pran",Drama,,1984,,,
Gangvaa,Rajasekhar,"Rajinikanth, Shabana Azmi, Sarika",Action,,1984,,,
Ghar Ek Mandir,K. Bapaiah,"Shashi Kapoor, Moushumi Chatterjee, Mithun Chakraborty",,,1984,,,
Giddh: The Vulture,T.S. Ranga,"Om Puri, Smita Patil, Nana Patekar",Drama,,1984,,,
Grahasthi,Prashant Nanda,"Yogeeta Bali, Bharat Bhushan, Ramesh Deo",,,1984,,,
Haisiyat,Narayana Rao Dasari,"Jeetendra, Jayapradha, Pran","Crime, Drama, Family",,1984,,,
Hanste Khelte,Dayanand,"Mithun Chakraborty, Vijayendra Ghatge, Jagdeep",Crime,,1984,,,
Hip Hip Hurray,Prakash Jha,"Satish Anand, Ram Gopal Bajaj, Nikhil Bhagat",,,1984,,,
Holi,Ketan Mehta,"Aamir Khan, Ashutosh Gowariker",,,1984,,,
Hum Do Hamare Do,B. Aar. Ishara,"Raj Babbar, Smita Patil, Shoma Anand","Drama, Family",,1984,,,
Hum Hain Lajawaab,Mohan Segal,"Kumar Gaurav, Padmini Kolhapure, Monty Nath","Action, Comedy, Drama, Family, Romance",,1984,,,
Hum Rahe Na Hum,"Chetan Anand, Ketan Anand","Vijay Anand, Shabana Azmi, Rehana Sultan",,,1984,,,
Inquilaab,T. Rama Rao,"Amitabh Bachchan, Sridevi, Sunil Dutt","Action, Drama",,1984,,,
Inquilab Ke Baad,Utpal Dutt,"Utpal Dutt, Robi Ghosh",,,1984,,,
Insaaf Kaun Karega,Sudarshan Nag,"Dharmendra, Rajinikanth, Jayapradha",,,1984,,,
Inteha,Shibu Mitra,"Raj Babbar, Reena Roy, Shakti Kapoor","Drama, Family",,1984,,,
Jaag Utha Insan,K. Vishwanathan,"Deven Verma, Sujit Kumar, Beena Banerjee","Drama, Family",,1984,,,
Jagir,Pramod Chakravorty,"Dharmendra, Mithun Chakraborty, Zeenat Aman, Pran, Danny Denzongpa, Ranjeet, Amrish Puri","Action, Crime, Drama",,1984,,,
Jawaani,Ramesh Behl,"Karan Shah, Neelam Kothari, Moushumi Chatterjee","Romance, Drama",,1984,,,
Jeene Nahi Doonga,Rajkumar Kohli,"Dharmendra, Shatrughan Sinha, Raj Babbar",Action,,1984,,,
John Jani Janardhan,T. Rama Rao,"Rajinikanth, Rati Agnihotri, Poonam Dhillon, Kader Khan","Action, Comedy, Romance",,1984,,,
Jhutha Sach,Esmayeel Shroff,"Dharmendra, Rekha, Amrish Puri","Drama, Family",,1984,,,
Kaamyaab,K. Raghavendra Rao,"Asrani, Shabana Azmi, Rita Bhaduri",,,1984,,,
Kahan Tak Aasmaan Hai,Mehmood Kureshi,,,,1984,,,
Kamla,Jag Mundhra,"Shabana Azmi, Deepti Naval, Marc Zuber",Drama,,1984,,,
Kanoon Kya Karega,Mukul Anand,"Suresh Oberoi, Deepti Naval, Iftekhar",Thriller,,1984,,,
Kanoon Meri Mutthi Mein,K. Prasad,"Raj Babbar, Smita Patil, Kader Khan",Action,,1984,,,
Karishmaa,I.V. Sasi,"Reena Roy, Kamal Hassan, Tina Munim",Thriller,,1984,,,
Kasam Paida Karne Wale Ki,B. Subhash,"Mithun Chakraborty, Smita Patil, Salma Agha, Amrish Puri","Action, Family",,1984,,,
Khandhar,Mrinal Sen,"Shabana Azmi, Annu Kapoor, Pankaj Kapur",Drama,,1984,,,
Laila,Saawan Kumar,"Sunil Dutt, Poonam Dhillon, Anil Kapoor, Pran","Musical, Romance",,1984,,,
Lakhon Ki Baat,Basu Chatterji,"Sanjeev Kumar, Farooq Shaikh, Anita Raj","Comedy, Romance, Musical",,1984,,,
Lorie,Vijay Talwar,"Shabana Azmi, Farooq Shaikh, Swaroop Sampat","Drama, Crime, Family",,1984,,,
Love Marriage,Mehul Kumar,"Anil Kapoor, Meenakshi Seshadri, Asrani",,,1984,,,
Maan Maryada,R.P. Swamy,"Sadashiv Amrapurkar, Birbal, Gajanan Jagirdar",Action,,1984,,,
Maati Maangey Khoon,Raj Khosla,"Shatrughan Sinha, Raj Babbar, Rekha","Action, Thriller",,1984,,,
Maqsad,K. Bapaiah,"Rajesh Khanna, Jeetendra, Jayapradha","Action, Crime, Musical",,1984,,,
Mashaal,Yash Chopra,"Dilip Kumar, Anil Kapoor, Rati Agnihotri, Waheeda Rehman, Amrish Puri",,,1984,,,
Maya Bazaar,Babubhai Mistri,"Dara Singh, Rakesh Pandey, Rita Bhaduri",,,1984,,,
Meraa Dost Meraa Dushman,Raj Khosla,"Shatrughan Sinha, Smita Patil, Geeta Behl",Action,,1984,,,
Mera Faisla,S.V. Rajendra Singh,"Sanjay Dutt, Rati Agnihotri, Jayapradha, Pran",,,1984,,,
Meri Adalat,A.T. Raghu,"Rajinikanth, Sonia Sahni, Kader Khan","Action, Thriller",,1984,,,
Mohabbat Ki Aag,,,,,1984,,,
Mohan Joshi Hazir Ho!,Saeed Akhtar Mirza,"Salim Ghouse, Mohan Gokhale, Rohini Hattangadi",,,1984,,,
Mujhe Shakti Do,,Vinod Mehra,,,1984,,,
My Dear Kuttichaathan,Jijo,"Alummoodan, Arvind","Action, Comedy, Adventure, Family, Fantasy",,1984,,,
Nadaniyan,,Prem Krishan,,,1984,,,
Naya Kadam,K. Raghavendra Rao,"Rajesh Khanna, Padmini Kolhapure, Sridevi","Family, Romance, Drama",,1984,,,
Paapi Pet Ka Sawaal Hai,Sohanlal Kanwar,"Rajesh Khanna, Jayapradha, Shatrughan Sinha",,,1984,,,
Paar,Goutam Ghose,"Naseeruddin Shah, Shabana Azmi, Utpal Dutt",Drama,,1984,,,
Pakhandi,Samir Ganguly,"Shashi Kapoor, Sanjeev Kumar, Zeenat Aman",,,1984,,,
Paroma,Aparna Sen,"Rakhee Gulzar, Aparna Sen, Mukul Sharma",Drama,,1984,,,
Party,Govind Nihalani,"Deepa Sahi, Ila Arun, Mohan Bhandari",Drama,,1984,,,
Pavitra Ganga,H.N. Reddy,Nirupa Roy,,,1984,,,
Pet Pyaar Aur Paap,Durai,"Raj Babbar, Smita Patil, Tanuja","Drama, Family",,1984,,,
Phulwari,Mukul Dutt,"Debashree Roy, Shashi Puri, Ashok Saraf","Drama, Family",,1984,,,
Preet Na Jane Reet,,Bharat Kapoor,,,1984,,,
Purana Mandir,"Shyam Ramsay, Tulsi Ramsay","Mohnish Bahl, Arti Gupta, Puneet Issar","Comedy, Drama, Horror",,1984,,,
Pyasa Shaitan,Joginder,"Kamal Hassan, Joginder Shelly, Madhu Malhotra",Horror,,1984,,,
Qaidi,,"Asrani, Urmila Bhatt, Bharat Bhushan",,,1984,,,
Raaj Tilak,Rajkumar Kohli,"Dharmendra, Hema Malini, Pran","Action, Drama",,1984,,,
Raavan,Johny Bakshi,"Smita Patil, Vikram, Gulshan Arora","Drama, Family",,1984,,,
Raja Aur Rana,Shibu Mitra,"Ajit, Chandrashekhar, Mohan Choti, Pran","Action, Comedy, Crime, Drama",,1984,,,
Rakta Bandhan,Rajat Rakshit,"Rati Agnihotri, Birbal, Mithun Chakraborty","Action, Comedy, Crime, Drama",,1984,,,
Ram Ki Ganga,Haran K. Chand,"Brahm Bhardwaj, Bindu, Birbal",Drama,,1984,,,
Ram Tera Desh,Swaroop Kumar,"Hema Malini, Ashok Kumar, Vijayendra Ghatge",,,1984,,,
Saaransh,Mahesh Bhatt,"Anupam Kher, Rohini Hattangadi, Soni Razdan, Madan Jain",,,1984,,,
Sasural,,"Dina Pathak, Sadhana Singh",,,1984,,,
Seepeeyan,Akash Jain,"Kanwaljit Singh, Debashree Roy, Om Puri",Drama,,1984,,,
Shapath,Ravikant Nagaich,"Raj Babbar, Smita Patil, Ranjeet",Action,,1984,,,
Sharaabi,Prakash Mehra,"Amitabh Bachchan, Jaya Prada, Pran, Om Prakash",,,1984,,,
Sheeshay Ka Ghar,Amit Khanna,"Raj Babbar, Vikas Desai, Padmini Kolhapure",,,1984,,,
Sharara,S.V. Rajendra Singh,"Mithun Chakraborty, Kader Khan, Raaj Kumar",,,1984,,,
Shravan Kumar,Chandrakant,"Chandrima Bhaduri, Abhi Bhattacharya, Bharat Bhushan",,,1984,,,
Sohni Mahiwal,"Umesh Mehra, Latif Faiziyev","Sunny Deol, Poonam Dhillon, Pran, Zeenat Aman","Action, Adventure, Drama, Romance, Family",,1984,,,
Sunny,Raj Khosla,"Master Bhagwan, Sunny Deol, Dharmendra",,,1984,,,
Tarang,Kumar Shahani,"Jeetendra, Rekha, Moushumi Chatterjee","Drama, Family",,1984,,,
Tarkeeb,Ravikant Nagaich,"Mithun Chakraborty, Shakti Kapoor, Ranjeeta Kaur",,,1984,,,
Taru,Ram Mohan,,Animation,,1984,,,
Tere Mere Beech Mein,Dada Kondke,Jayshree T.,"Comedy, Drama, Romance",,1984,,,
Teri Bahon Mein,Umesh Mehra,"Mohnish Bahl, Ayesha Shroff, Navin Nischol",Romance,,1984,,,
Tohfa,Raghavendra Rao,"Jeetendra, Sridevi, Jaya Prada",,,1984,,,
Unchi Uraan,Jagjit Khurana,"Suresh Chatwal, P. Jairaj, Javed Khan","Drama, Romance",,1984,,,
Utsav,Girish Karnad,"Rekha, Amjad Khan, Kulbhushan Kharbanda",Drama,,1984,,,
Wanted: Dead or Alive,Ambrish Sangal,"Mithun Chakraborty, Tina Munim","Action, Crime, Drama",,1984,,,
Waqt Ki Pukar,Desh Gautam,"Shoma Anand, Yogeeta Bali, Vijayendra Ghatge",,,1984,,,
Waqt Se Pehle,Govind Saraiya,,,,1984,,,
Yaadgaar,Dasari Narayana Rao,"Sanjeev Kumar, Kamal Hassan, Poonam Dhillon","Action, Comedy, Drama",,1984,,,
Yaadon Ki Zanjeer,Shibu Mitra,"Sunil Dutt, Shashi Kapoor, Reena Roy",,,1984,,,
Yahan Wahan,Rajat Rakshit,"Aruna Irani, Jagdeep, Surinder Kaur",,,1984,,,
Yeh Desh,Rama Rao Tatineni,"Zeenat Aman, Kamal Hassan, Jeetendra","Action, Drama",,1984,,,
Yeh Ishq Nahin Aasaan,Tinnu Anand,"Rishi Kapoor, Padmini Kolhapure, Asrani",Romance,,1984,,,
Yeh Kahani Nahi,Biplab Roy Chowdhury,,,,1984,,,
Zakhmi Sher,Narayana Rao Dasari,"Jeetendra, Dimple Kapadia, Amrish Puri","Action, Thriller",,1984,,,
Zameen Aasmaan,Bharat Rangachary,"Shashi Kapoor, Sanjay Dutt, Rekha",,,1984,,,
Zindagi Jeene Ke Liye,K.S. Sethu Madhavan,"Rakhee Gulzar, Suresh Oberoi, Vijay Arora",,,1984,,,
Aaj Ka Daur,K. Bapaiah,"Nirupa Roy, Anwar Ali, Shoma Anand","Action, Crime, Drama",,1985,,,
