Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
Mumbai Xpress,Singeetam Srinivasa Rao,"Kamal Haasan, Manisha Koirala, Om Puri, Vijay Raaz",,,2005,,,
Mumbai Godfather,,"Seema Biswas, Vikram Singh",Drama,,2005,,,
My Brother... Nikhil,,"Juhi Chawla, Sanjay Suri","Drama, Social",,2005,,,
My Wife's Murder,Jijy Philip,"Anil Kapoor, Suchitra Krishnamoorthi, Nandana Sen, Boman Irani","Drama, Thriller",,2005,,,
Naam Gum Jaayega,Amol Shetge,"Aryan Vaid, Rakesh Bapat, Dia Mirza, Divya Dutta",Romance,,2005,,,
Naina,,Urmila Matondkar,"Horror, Thriller",,2005,,,
Neal 'n' Nikki,Arjun Sablok,"Uday Chopra, Tanisha, Abhishek Bachchan","Comedy, Romance",,2005,,,
Nigehbaan,,"Sameer Dharmadhikari, Sandali Sinha, Sayaji Shinde, Govind Namdev",,,2005,,,
No Entry,Anees Bazmee,"Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu, Celina Jaitly, Esha Deol, Lara Dutta",Comedy,,2005,,,
Padmashree Laloo Prasad Yadav,Mahesh Manjrekar,"Sunil Shetty, Mahesh Manjrekar, Kim Sharma, Gulshan Grover, Johnny Lever",Comedy,,2005,,,
Page 3,Madhur Bhandarkar,"Konkona Sen Sharma, Atul Kulkarni, Tara Sharma, Sandhya Mridul","Drama, Social",,2005,,,
Pehchaan: The Face of Truth,Shrabani Deodhar,"Vinod Khanna, Raveena Tandon, Rati Agnihotri",Drama,,2005,,,
Paheli,Amol Palekar,"Shah Rukh Khan, Rani Mukherji, Anupam Kher, Juhi Chawla, Sunil Shetty, Amitabh Bachchan, Rajpal Yadav, Naseeruddin Shah, Ratna Pathak Shah","Fantasy, Romance, Musical",,2005,,,
Parineeta,Pradeep Sarkar,"Sanjay Dutt, Saif Ali Khan, Vidya Balan, Dia Mirza, Raima Sen",Drama,,2005,,,
Pyaar Mein Twist,,"Rishi Kapoor, Dimple Kapadia, Soha Ali Khan","Drama, Romance",,2005,,,
Ramji Londonwale,,"Madhavan, Samita Bangargi",,,2005,,,
Revati,,"Kashmira Shah, Kiran, Ayub Khan, Shreyas Talpade, Alok Nath",,,2005,,,
Rog,Himanshu Brahmbhatt,"Irrfan Khan, Himanshu Malik, Ilene Hamann","Drama, Thriller",,2005,,,
Saathi: The Companion,,"Rupa Dutta, Divvij Kak, Anchal Anand, Sameer Ali Khan",,,2005,,,
Salaam Namaste,Siddharth Anand,"Saif Ali Khan, Preity Zinta, Arshad Warsi, Tania Zaetta","Romance, Comedy, Drama, Social",,2005,,,
Sarkar,Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Katrina Kaif, Tanisha","Crime, Drama",,2005,,,
Sauda - The Deal,,"Aryan Vaid, Preeti Jhangiani",,,2005,,,
Sehar,,"Arshad Warsi, Mahima Chaudhry",,,2005,,,
Shaadi No. 1,,"Fardeen Khan, Zayed Khan, Sharman Joshi, Esha Deol, Ayesha Takia, Soha Ali Khan, Sanjay Dutt, Rajpal Yadav, Riya Sen, Sophie Choudry, Aarti Chhabria","Comedy, Romance",,2005,,,
Shabd,,"Sanjay Dutt, Aishwarya Rai, Zayed Khan",Drama,,2005,,,
Shabnam Mausi,,Ashutosh Rana,,,2005,,,
Sheesha,,"Neha Dhupia, Sonu Sood",,,2005,,,
Sehar,Kabeer Kaushik,"Arshad Warsi, Mahima Chaudhary",,,2005,,,
Shikhar,John Matthew Matthan,"Ajay Devgn, Bipasha Basu, Shahid Kapoor, Amrita Rao",Drama,,2005,,,
Silsiilay,Khalid Mohamed,"Tabu, Bhumika Chawla, Riya Sen, Rahul Bose, Jimmy Shergill, Divya Dutta, Kay Kay Menon, Celina Jaitly, Natassha, Ashmit Patel",Romance,,2005,,,
Sitam,,"Kiran Janjani, Tara Sharma, Navneet Kaur, Avtar Gill, Suhasini Mulay",,,2005,,,
Socha Na Tha,Imtiaz Ali,"Ayesha Takia, Abhay Deol, Ayesha Jhulka","Romance, Comedy",,2005,,,
Ssukh,,"Govinda, Preeti Jhangiani",,,2005,,,
Taj Mahal: An Eternal Love Story,,"Arbaaz Khan, Kabir Bedi, Manisha Koirala, Pooja Batra","History, Epic, Romance",,2005,,,
Tango Charlie,Mani Shankar,"Ajay Devgn, Bobby Deol, Tanisha, Nandana Sen, Sanjay Dutt, Sunil Shetty","War, Drama",,2005,,,
Tezaab – The Acid of Love,,"Mighty Khan, Parvin Dabas, Shruti Sharma",Erotic,,2005,,,
The Film,Junaid Memon,"Mahima Chaudhry, Khalid Siddiqui, Ananya Khare, Chahat Khanna, Ravi Gossain, Vaibhav Jhalani, Vivek Madan",Thriller,,2005,,,
Time Pass,,"Arjun Punj, Sherlyn Chopra",,,2005,,,
Topless,,"Shweta Menon, Tarun Khanna, Sardar Sohi",,,2005,,,
"U, Bomsi n Me",,"Bobby Bahal, Kenny Desai, Vivek Madan, Vidya Malvade",,,2005,,,
Vaada,,"Arjun Rampal, Ameesha Patel, Zayed Khan",Thriller,,2005,,,
Vaah! Life Ho Toh Aisi!,Mahesh Manjrekar,"Sanjay Dutt, Shahid Kapoor, Amrita Rao","Fantasy, Comedy",,2005,,,
Vidyaarthi,,"Jackie Shroff, Paresh Rawal, Rahul Roy",,,2005,,,
Viruddh... Family Comes First,Mahesh Manjrekar,"Amitabh Bachchan, Sharmila Tagore, John Abraham, Anusha Dandekar, Sanjay Dutt",Drama,,2005,,,
Waqt: The Race Against Time,Vipul Shah,"Amitabh Bachchan, Akshay Kumar, Shefali Shah, Priyanka Chopra, Boman Irani, Rajpal Yadav",Drama,,2005,,,
Yahaan,,"Jimmy Shergill, Minissha Lamba",Romance,,2005,,,
Yakeen,,"Arjun Rampal, Priyanka Chopra, Kim Sharma",Drama,,2005,,,
Zameer: The Fire Within,Kamal,"Ajay Devgn, Ameesha Patel, Mahima Chaudhry",Drama,,2005,,,
Zeher,Mohit Suri,"Shamita Shetty, Emraan Hashmi, Udita Goswami","Drama, Thriller",,2005,,,
36 China Town,Abbas-Mustan,"Kareena Kapoor, Shahid Kapoor, Akshaye Khanna, Isha Koppikar, Upen Patel, Johny Lever, Paresh Rawal, Payal Rohatgi","Thriller, Mystery",,2006,,,
Aap Ki Khatir,Dharmesh Darshan,"Sunil Shetty, Akshaye Khanna, Dino Morea, Amisha Patel, Priyanka Chopra","Comedy, Romance, Social",,2006,,,
Aatma,Deepak Ramsay,"Kapil Jhaveri, Neha",Horror,,2006,,,
Adharm,,"Rahul Dev, Sonali Kulkarni",,,2006,,,
Ahista Ahista,,"Abhay Deol, Soha Ali Khan","Drama, Romance",,2006,,,
Aisa Kyon Hota Hai?,,Rati Agnihotri,Drama,,2006,,,
Aksar,Anant Mahadevan,"Emraan Hashmi, Dino Morea, Udita Goswami, Tara Sharma",Thriller,,2006,,,
Alag,Ashu Trikha,"Dia Mirza, Akshay Kapoor",Drama,,2006,,,
Anjaan,,"Mahek Chahal, Vipul Gupta, Aamir Ali Malik",,,2006,,,
Ankahee,Vikram Bhatt,"Aftab Shivdasani, Amisha Patel, Esha Deol, Hrishita Bhatt","Drama, Romance, Crime",,2006,,,
Anthony Kaun Hai?,,"Sanjay Dutt, Arshad Warsi, Minissha Lamba, Anusha Dhandekar, Gulshan Grover","Comedy, Thriller",,2006,,,
Apna Sapna Money Money,Sangeeth Sivan,"Sunil Shetty, Riteish Deshmukh, Shreyas Talpade, Celina Jaitley, Anupam Kher, Koena Mitra, Chunky Pandey, Riya Sen, Jackie Shroff, Rajpal Yadav",Comedy,,2006,,,
Aryan: Unbreakable,Abhishek Kapoor,"Sohail Khan, Sneha Ullal, Fardeen Khan","Action, Sports, Romance",,2006,,,
Baabul,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan, Rani Mukherji, John Abraham","Drama, Romance, Family, Social",,2006,,,
Banaras,Pankaj Parashar,"Urmila Matondkar, Dimple Kapadia, Ashmit Patel, Naseeruddin Shah, Raj Babbar","Drama, Social",,2006,,,
Bas Ek Pal,,"Juhi Chawla, Urmila Matondkar, Jimmy Sheirgill, Sanjay Suri",,,2006,,,
Being Cyrus,,"Saif Ali Khan, Dimple Kapadia, Boman Irani, Naseeruddin Shah","Drama, Comedy",,2006,,,
Bhagam Bhag,Priyadarshan,"Akshay Kumar, Govinda, Paresh Rawal, Lara Dutta, Arbaaz Khan, Jackie Shroff, Rajpal Yadav, Tanushree Dutta, Shakti Kapoor","Comedy, Musical",,2006,,,
Bhoot Unkle,,Jackie Shroff,Comedy,,2006,,,
Chand Ke Paar Chalo,,"Preeti Jhangiani, Sanjay Narvekar",,,2006,,,
Chingaari,Kalpana Lajmi,"Sushmita Sen, Mithun Chakraborty, Sanjay Suri","Drama, Social",,2006,,,
Chup Chup Ke,Priyadarshan,"Kareena Kapoor, Shahid Kapoor, Neha Dhupia, Rajpal Yadav, Sunil Shetty, Paresh Rawal, Anupam Kher","Comedy, Romance",,2006,,,
Corporate,Madhur Bhandarkar,"Bipasha Basu, Kay Kay Menon, Minissha Lamba","Drama, Thriller, Business",,2006,,,
Darna Zaroori Hai,Ram Gopal Varma & Sajid Khan,"Amitabh Bachchan, Sunil Shetty, Bipasha Basu, Anil Kapoor, Arjun Rampal, Riteish Deshmukh, Mallika Sherawat, Randeep Hooda, Rajpal Yadav, Sonali Kulkarni, Nisha Kothari",Horror,,2006,,,
Darwaaza Bandh Rakho,,"Aftab Shivdasani, Manisha Koirala","Comedy, Crime",,2006,,,
Deadline: Sirf 24 Ghante,,"Irrfan Khan, Konkona Sen Sharma",,,2006,,,
Devaki,,"Ram Kapur, Perizaad Zorabian, Suman Ranganathan",Drama,,2006,,,
Dharti Kahe Pukar Ke,Aslam Sheikh,"Ajay Devgn, Manoj Tiwari, Sharbani Mukherjee",Drama,,2006,,,
Dhoom 2,Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai, Bipasha Basu, Uday Chopra, Rimi Sen","Thriller, Action, Romance, Musical",,2006,,,
Dil Diya Hai,Aaditya Datt,"Emraan Hashmi, Ashmit Patel, Geeta Basra",Thriller,,2006,,,
Don,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Kareena Kapoor, Boman Irani, Om Puri","Thriller, Action, Drama",,2006,,,
Dor,,"Ayesha Takia, Gul Panag, Shreyas Talpade","Drama, Social",,2006,,,
Dulha Babu,,,,,2006,,,
Eight: The Power of Shani,,"Raj Tara, Gulshan Grover",,,2006,,,
Ek Main Ek Tum,,,,,2006,,,
Family,,"Amitabh Bachchan, Akshay Kumar, Bhumika Chawla","Drama, Thriller",,2006,,,
Fanaa,Kunal Kohli,"Kajol, Aamir Khan, Rishi Kapoor, Kirron Kher, Tabu, Sharat Saxena, Shiney Ahuja, Lara Dutta","Drama, Romance, Thriller, Musical",,2006,,,
Fight Club – Members Only,Vikram Chopra,"Sunil Shetty, Riteish Deshmukh, Zayed Khan, Sohail Khan, Aashish Chaudhary, Yash Tonk, Ashmit Patel, Rahul Dev, Dino Morea, Diya Mirza, Neha Dhupia, Amrita Arora","Action, Thriller",,2006,,,
Gangster,,"Emraan Hashmi, Kangana Ranaut, Shiney Ahuja","Drama, Romance, Thriller, Musical",,2006,,,
Golmaal: Fun Unlimited,Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi, Tusshar Kapoor, Rimi Sen, Paresh Rawal, Sushmita Mukherjee",Comedy,,2006,,,
Haseena,Vicky Ranawat,"Isha Koppikar, Raj Babbar, Kiran Janjani, Preeti Jhangiani","Thriller, Comedy",,2006,,,
Holiday,Pooja Bhatt,"Dino Morea, Onjolee Nair, Kashmira Shah",Romance,,2006,,,
Humko Deewana Kar Gaye,Raj Kanwar,"Akshay Kumar, Katrina Kaif, Bipasha Basu, Anil Kapoor","Romance, Drama, Musical",,2006,,,
Humko Tumse Pyaar Hai,,"Bobby Deol, Amisha Patel, Arjun Rampal","Drama, Romance",,2006,,,
Iqraar by Chance,K. Ravi Shankar,"Shilpa Anand, Amarjeet Shukla, Rahul Dev, Arbaaz Khan","Action, Drama",,2006,,,
I See You,,"Arjun Rampal, Vipasha Agarwal, Sonali Kulkarni, Chunky Pandey, Boman Irani, Kirron Kher","Drama, Romance, Social",,2006,,,
Jaane Hoga Kya,,"Aftab Shivdasani, Bipasha Basu, Preeti Jhangiani, Rahul Dev, Paresh Rawal","Supensene, Thriller, Sci-fi",,2006,,,
Jaadu Sa Chal Gaya,,,,,2006,,,
Jaana - Let's Fall In Love,,"Rajesh Khanna, Zeenat Aman",,,2006,,,
Jaan-E-Mann,Shirish Kunder,"Salman Khan, Akshay Kumar, Preity Zinta","Drama, Romance, Musical, Comedy",,2006,,,
Jawani Diwani,,"Emraan Hashmi, Hrishita Bhatt, Celina Jaitley, Sherlyn Chopra","Comedy, Adult",,2006,,,
Jigyaasa,Faisal Saif,"Hrishita Bhatt, Varsha Usgaonkar, Mukesh Tiwari, Milind Gunaji, Jaya Bhattacharya, Kader Khan","Social, Adult",,2006,,,
Kabul Express,Kabir Khan,"John Abraham, Arshad Warsi","Drama, Thriller, War",,2006,,,
Kabhi Alvida Naa Kehna,Karan Johar,"Amitabh Bachchan, Shahrukh Khan, Abhishek Bachchan, Rani Mukherji, Preity Zinta, Kirron Kher","Drama, Romance, Musical, Comedy, Family, Social",,2006,,,
Khosla Ka Ghosla,,"Anupam Kher, Boman Irani",Comedy,,2006,,,
Krishna,,"Sonu Nigam, Sunidhi Chauhan",,,2006,,,
Krrish,Rakesh Roshan,"Rekha, Hrithik Roshan, Priyanka Chopra, Preity Zinta, Naseeruddin Shah, Sharat Saxena","Superhero, Action, Fantasy, Romance, Musical",,2006,,,
Kudiyon Ka Hai Zamana,Amar Butala,"Rekha, Mahima Chaudhry, Vasundhara Das, Kim Sharma, Ashmit Patel",Comedy,,2006,,,
Lady Chatterjee - Sawan Dutta,,,,,2006,,,
Lage Raho Munna Bhai,Rajkumar Hirani,"Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani, Jimmy Sheirgill, Dia Mirza, Abhishek Bachchan","Comedy, Social, Musical",,2006,,,
Love Ke Chakkar Mein,B. H. Tharunkumar,"Akshat Bhatia, Rishi Kapoor, Namitha, Satish Shah","Romance, Comedy",,2006,,,
Madhubaala,,,,,2006,,,
Malamaal Weekly,,"Paresh Rawal, Om Puri, Ritesh Deshmukh, Reema Sen, Arbaaz Khan, Shakti Kapoor, Asrani",Comedy,,2006,,,
Mere Jeevan Saathi,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Amisha Patel","Drama, Romance",,2006,,,
Meri Jung,,,,,2006,,,
Mirza Sahiba,,,,,2006,,,
Mobile Phone,,,,,2006,,,
Mr 100% - The Real Player,,,,,2006,,,
Naksha,,"Sunny Deol, Vivek Oberoi, Sameera Reddy, Jackie Shroff","Thriller, Fantasy",,2006,,,
Omkara,Vishal Bhardwaj,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma, Vivek Oberoi, Bipasha Basu","Drama, Social, Action",,2006,,,
Phir Hera Pheri,Neeraj Vora,"Sunil Shetty, Akshay Kumar, Paresh Rawal, Bipasha Basu, Rimi Sen",Comedy,,2006,,,
Prateeksha,,"Jimmy Sheirgill, Dia Mirza",,,2006,,,
Pyaar Ke Side Effects,Saket Chaudhary,"Rahul Bose, Mallika Sherawat","Comedy, Romance",,2006,,,
Pyare Mohan,,"Vivek Oberoi, Fardeen Khan, Esha Deol, Amrita Rao, Boman Irani",Comedy,,2006,,,
Rafta Rafta,,,,,2006,,,
Rang De Basanti,Rakeysh Omprakash Mehra,"Aamir Khan, Kunal Kapoor, Soha Ali Khan, Sharman Joshi, Atul Kulkarni, Madhavan, Alice Patten, Waheeda Rehman, Kirron Kher, Om Puri, Anupam Kher, Mohan Agashe","Drama, Patriotic, Social",,2006,,,
Rehguzar - The Road to Destiny,,,,,2006,,,
Rocky,,"Zayed Khan, Minissha Lamba, Isha Sharvani","Action, Romance",,2006,,,
Saawan... The Love Season,Saawan Kumar Tak,"Salman Khan, Saloni Aswani, Kapil Jhaveri, Johnny Lever","Drama, Romance",,2006,,,
Sacred Evil – A True Story,,Sarika,"Horror, Thriller",,2006,,,
Salaam Bacche,,,,,2006,,,
Sandwich,Anees Bazmee,"Govinda, Raveena Tandon, Mahima Chaudhry",Comedy,,2006,,,
Sarhad Paar,Raman Kumar,"Sanjay Dutt, Tabu, Mahima Chaudhry, Rahul Dev",Drama,,2006,,,
Shaadi Karke Phas Gaya Yaar,K. S. Adiyaman,"Salman Khan, Shilpa Shetty","Drama, Romance",,2006,,,
Shaadi Se Pehle,Satish Kaushik,"Akshaye Khanna, Ayesha Takia, Mallika Sherawat, Sunil Shetty, Aftab Shivdasani, Anupam Kher","Comedy, Romance",,2006,,,
Shikhar,,"Ajay Devgan, Bipasha Basu, Shahid Kapoor, Amrita Rao",Drama,,2006,,,
Shiva,,Nisha Kothari,,,2006,,,
Souten: The Other Woman,,"Gulshan Grover, Mahima Chaudhry",Drama,,2006,,,
Strings - Bound By Faith,,,,,2006,,,
Sun Zara,,,,,2006,,,
Tathastu,Anubhav Sinha,"Sanjay Dutt, Amisha Patel","Drama, Family",,2006,,,
Taxi No. 9211,,"John Abraham, Nana Patekar, Sameera Reddy, Sonali Kulkarni","Social, Thriller",,2006,,,
Teesri Aankh: The Hidden Camera,,"Sunny Deol, Amisha Patel, Neha Dhupia","Action, Thriller",,2006,,,
The Killer,,"Irrfan Khan, Emraan Hashmi, Nisha Kothari",,,2006,,,
The Real Dream Girls,Suresh Jain,"Gulshan Rana, Tanveer Hashmi, Karishma, Dipti Verma",B-grade,,2006,,,
Tom Dick And Harry,Deepak Tijori,"Jimmy Sheirgill, Dino Morea, Anuj Sawhney Celina Jaitley, Kim Sharma",Comedy,,2006,,,
Umar,,,,,2006,,,
Umrao Jaan,J. P. Dutta,"Aishwarya Rai, Abhishek Bachchan, Shabana Azmi, Sunil Shetty, Divya Dutta","Drama, Romance, Social, Historical",,2006,,,
Unns...Means Love,,,,,2006,,,
Utthaan,,"Priyanshu Chatterjee, Neha Dhupia",,,2006,,,
Vivah,Sooraj Barjatya,"Shahid Kapoor, Amrita Rao, Anupam Kher","Romance, Drama",,2006,,,
Waris Shah: Ishq Daa Waaris,Manoj Punj,"Gurdas Mann, Juhi Chawla, Divya Dutta",,,2006,,,
Woh Lamhe...,,"Shiney Ahuja, Kangana Ranaut","Drama, Romance, Social",,2006,,,
Yun Hota Toh Kya Hota,,"Ayesha Takia, Konkona Sen Sharma, Paresh Rawal",Drama,,2006,,,
Zinda,Sanjay Gupta,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitley",Thriller,,2006,,,
Zindaggi Rocks,Tanuja Chandra,"Sushmita Sen, Shiney Ahuja",Drama,,2006,,,
1971,Amrit Sagar,"Manoj Bajpai, Ravi Kishan",War,,2007,,,
50 Lakh,Chandra Sekhar Yeleti,"Pawan Malhotra, Mohit Chadda",,,2007,,,
68 Pages,Sridhar Rangayan,"Mouli Ganguly, Joy Sengupta, Jayati Bhatia",,,2007,,,
Aag,Ram Gopal Varma,"Amitabh Bachchan, Ajay Devgn, Sushmita Sen, Nisha Kothari, Mohanlal, Prashant Raj Sachdev, Rajpal Yadav","Action, Thriller",,2007,,,
Aaja Nachle,Anil Mehta,"Madhuri Dixit, Akshaye Khanna, Kunal Kapoor, Konkona Sen Sharma, Ranvir Shorey",Musical,,2007,,,
Aap Kaa Surroor,Prashant Chadda,"Himesh Reshammiya, Hansika Motwani, Mallika Sherawat, Darshan Jariwala, Raj Babbar, Shravan, VJ Bani, Sachin Khedekar, Anant Mahadevan, Lovepreet Aujla, Marrissa Lawrence, Ishitha Chauhan, Sanjay Sharma, Pankaj Jha, Abhijeet Chavan, Lallan Dubey, Ryan Estrada, Ron Matz","Drama, Thriller, Romance",,2007,,,
Aggar,Anant Mahadevan,"Shreyas Talpade, Tushar Kapoor, Udita Goswami","Drama, Thriller",,2007,,,
Anjaam,Anant Mahadevan,"Emraan Hashmi, Tusshar Kapoor",Thriller,,2007,,,
Anwar,Manish Jha,"Siddharth Koirala, Rajpal Yadav, Nauheed Cyrusi",Drama,,2007,,,
Apna Asmaan,Kaushik Roy,"Irrfan Khan, Shobana",,,2007,,,
Apne,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol, Shilpa Shetty, Katrina Kaif, Divya Dutta, Kirron Kher","Family, Drama, Sports",,2007,,,
Aur Pappu Paas Ho Gaya,S. Soni,"Krishna Abhishek, Kashmira Shah, Jackie Shroff",,,2007,,,
Awarapan,Mohit Suri,"Emraan Hashmi, Shriya Saran, Mrinalini Sharma, Ashutosh Rana","Action, Drama",,2007,,,
Bal Ganesh,Pankaj Sharma,"Ashar Shaikh, Adarsh Gautam, Namrata Sawhney",Mythological,,2007,,,
Benaam,Anees Bazmee,"Ajay Devgn, Bhumika Chawla, Sameera Reddy, Mukesh Tiwari",Action,,2007,,,
Bheja Fry,Sagar Ballary,"Vinay Pathak, Sarika, Rajat Kapoor",Comedy,,2007,,,
Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Amisha Patel, Shiney Ahuja","Mystery, Thriller, Comedy",,2007,,,
Bhram,Pavan Kaul,"Dino Morea, Milind Soman, Sheetal Menon",Thriller,,2007,,,
Big Brother,Guddu Dhanoa,"Sunny Deol, Priyanka Chopra, Raju Srivastava","Action, Drama, Romance, Crime",,2007,,,
Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali, Pratima Kazmi, Zakir Hussain","Crime Fiction, Drama, Historical",,2007,,,
Blood Brothers,Vishal Bhardwaj,"Ayesha Takia, Siddharth, Pankaj Kapur, Pavan Malhotra",Short Film,,2007,,,
The Blue Umbrella,Vishal Bhardwaj,"Shreya Sharma, Pankaj Kapur",,,2007,,,
Bombay to Goa,Raj Pendurkar,"Sunil Pal, Raju Shrivastav, Asrani, Vijay Raaz, Tinu Anand",Comedy,,2007,,,
Buddha Mar Gaya,Rahul Rawail,"Rakhi Sawant, Anupam Kher, Om Puri, Paresh Rawal",Comedy,,2007,,,
Cash,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Zayed Khan, Riteish Deshmukh, Esha Deol, Shamita Shetty, Dia Mirza, Ayesha Takia",Thriller,,2007,,,
Chak De! India,Shimit Amin,"Shah Rukh Khan, Sagarika Ghatge, Vidya Malvade",Sports,,2007,,,
Chanchal,Indrajit Singh,"Armaan Shahabi, Gracy Singh","Drama, Musical",,2007,,,
Cheeni Kum,R. Balki,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal","Romance, Comedy, Drama",,2007,,,
Chhodon Naa Yaar,Dillip Sood,"Jimmy Sheirgill, Kim Sharma",Horror,,2007,,,
Chooriyan,Sukhwant Dhadda,"Vinod Khanna, Gracy Singh, Sudhanshu Pandey, Vikas Bhalla","Family, Drama",,2007,,,
Cocktail: The Deadly Combination,Maninder Bhandari,"Waqar Khan, Mushtaq Khan, Gufi Paintal",Thriller,,2007,,,
Darling,Ram Gopal Verma,"Fardeen Khan, Isha Koppikar, Esha Deol","Thriller, Horror, Romance, Mystery",,2007,,,
Delhii Heights,Anand Kumar,"Jimmy Sheirgill, Neha Dhupia, Om Puri",,,2007,,,
Dhamaal,Indra Kumar,"Javed Jaffrey, Sanjay Dutt, Riteish Deshmukh, Arshad Warsi, Aashish Chaudhary",Comedy,,2007,,,
Goal,Vivek Agnihotri,"John Abraham, Bipasha Basu, Arshad Warsi, Boman Irani",Sports,,2007,,,
Dharm,Bhavna Talwar,"Pankaj Kapur, Hrishitaa Bhatt, Supriya Pathak",,,2007,,,
Dhokha,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi, Anupam Kher",,,2007,,,
Dhol,Priyadarshan,"Kunal Khemu, Sharman Joshi, Rajpal Yadav, Tusshar Kapoor, Tanushree Dutta, Tara Sharma, Arbaaz Khan",Comedy,,2007,,,
Dil Dosti Etc,Manish Tiwary,"Shreyas Talpade, Nikita Anand, Imaad Shah, Smriti Mishra, Ishita Sharma",,,2007,,,
Don't Stop Dreaming,Aditya Raj Kapoor,"Rishi Kapoor, Suniel Shetty",Drama,,2007,,,
Dus Kahaniyaan,Sanjay Gupta,"Sanjay Dutt, Sunil Shetty, Arbaaz Khan, Nana Patekar, Dino Morea, Manoj Bajpai, Aftab Shivdasani, Diya Mirza, Amrita Singh, Neha Dhupia, Minissha Lamba, Tarina Patel, Naseeruddin Shah, Shabana Azmi, Anupam Kher, Natassha",Drama,,2007,,,
Ek Chalis Ki Last Local,Sanjay Khanduri,"Abhay Deol, Neha Dhupia",,,2007,,,
Eklavya: The Royal Guard,Vidhu Vinod Chopra,"Amitabh Bachchan, Sharmila Tagore, Sanjay Dutt, Saif Ali Khan, Vidya Balan, Jimmy Sheirgill, Jackie Shroff, Raima Sen",Drama,,2007,,,
Familywala,Neeraj Vora,"Arjun Rampal, Dia Mirza",,,2007,,,
Fool & Final,Ahmed Khan,"Shahid Kapoor, Sunny Deol, Ayesha Takia, Paresh Rawal, Arbaaz Khan, Vivek Oberoi, Jackie Shroff, Gulshan Grover, Om Puri, Sharmila Tagore, Johnny Lever","Action, Comedy, Romance, Musical",,2007,,,
"Gandhi, My Father",Feroz Abbas Khan,"Akshaye Khanna, Shefali Shah, Bhumika Chawla",Drama,,2007,,,
Gangotri,Abhishek Chhadha,"Amitabh Bachchan, Bhumika Chawla",Drama,,2007,,,
Gauri: The Unborn,Akku Akbar,"Rituparna Sengupta, Atul Kulkarni",Horror,,2007,,,
Go,Manish Shrivastava,"Nisha Kothari, Kay Kay Menon, Rajpal Yadav",,,2007,,,
"Good Boy, Bad Boy",Ashwini Chaudhary,"Emraan Hashmi, Tusshar Kapoor, Isha Sharvani, Tanushree Dutta, Paresh Rawal",Comedy,,2007,,,
Guru,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai, Mithun Chakraborty, Vidya Balan, R. Madhavan","Drama, Romance",,2007,,,
Har Pal,Jahnu Barua,"Preity Zinta, Shiney Ahuja, Dharmendra, Isha Koppikar",Romance,,2007,,,
Hastey Hastey,Tonny,"Jimmy Sheirgill, Rajpal Yadav, Nisha Rawal, Monishka",Comedy,,2007,,,
Hattrick,Milan Luthria,"Paresh Rawal, Rimi Sen, Kunal Kapoor, Nana Patekar, Danny Denzongpa",Comedy,,2007,,,
Heyy Babyy,Sajid Khan,"Akshay Kumar, Riteish Deshmukh, Fardeen Khan, Vidya Balan, Boman Irani, Anupam Kher","Comedy, Drama, Romance",,2007,,,
Honeymoon Travels Pvt. Ltd.,Reema Kagti,"Shabana Azmi, Boman Irani, Amisha Patel, Sandhya Mridul, Diya Mirza, Minissha Lamba, Kay Kay Menon, Arjun Rampal, Ranvir Shorey, Raima Sen, Karan Khanna, Vikram Chatwal, Abhay Deol","Comedy, Drama, Romance",,2007,,,
Jab We Met,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Pawan Malhotra, Dara Singh","Romance, comedy",,2007,,,
Jahan Jaaeyega Hamen Paaeyega,Janmendra Ahuja,"Govinda (actor)Govinda, Sakshi Sivanand",Comedy,,2007,,,
Jhoom Barabar Jhoom,Shaad Ali,"an, Preity Zinta, Bobby Deol, Lara Dutta, Amitabh Bachchan","Romance, Comedy",,2007,,,
Johnny Gaddaar,Sriram Raghavan,"Neil Mukesh, Dharmendra, Vinay Pathak, Zakir Hussain, Rimi Sen, Dayanand Shetty",Thriller,,2007,,,
Just Married,Meghna Gulzar,"Fardeen Khan, Esha Deol","Drama, Romance, Social, Comedy",,2007,,,
