Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house,Genres,Rating,Combined
JUL,6,bol bachchan,Rohit Shetty,"Ajay Devgn, Abhishek Bachchan, Asin Thottumkal, Prachi Desai[45]",Comedy/Action,2012,,,,Action Comedy,5.5,rohit shetty ajay devgn abhishek bachchan asin thottumkal prachi desai[45] action comedy
JUL,6,3 bachelors,Ajay Sinha,"Sharman Joshi, Riya Sen, Raima Sen[46]",Comedy,2012,,,,Comedy Romance,3.3,ajay sinha sharman joshi riya sen raima sen[46] comedy romance
JUL,13,cocktail,Homi Adajania,"Saif Ali Khan, Deepika Padukone, Diana Penty, Boman Irani, Dimple Kapadia[47]",Romance,2012,,,,Comedy Drama Romance,6.3,homi adajania saif ali khan deepika padukone diana penty boman irani dimple kapadia[47] comedy drama romance
JUL,20,gattu,Rajan Khosa,"Sarvasva, Mohammad Samad, Naresh Kumar[48]",Children,2012,,,,Children,,rajan khosa sarvasva mohammad samad naresh kumar[48] children
JUL,20,challo driver,Vickrant Mahajan,"Kainaz Motivala, Vickrant Mahajan, Prem Chopra, Manoj Pahwa[49]",Comedy,2012,,,,Comedy,5.9,vickrant mahajan kainaz motivala vickrant mahajan prem chopra manoj pahwa[49] comedy
JUL,20,mere dost picture abhi baki hai,Rajnish Raj Thakur,"Suniel Shetty, Rajpal Yadav[50]",Comedy,2012,,,,Comedy,3.6,rajnish raj thakur suniel shetty rajpal yadav[50] comedy
JUL,27,kyaa super kool hain hum,Sachin Yardi,"Tusshar Kapoor, Riteish Deshmukh, Neha Sharma, Sarah-Jane Dias[51]",Adult/Comedy,2012,,,,Comedy,5.0,sachin yardi tusshar kapoor riteish deshmukh neha sharma sarah- jane dias[51] comedy
JUL,27,aalaap,Manish Manikpuri,"Amit Purohit, Pitobash Tripathy, Gamya Wijayadasa, Rituparna Sengupta",Social,2012,,,,Sci-Fi,5.6,manish manikpuri amit purohit pitobash tripathy gamya wijayadasa rituparna sengupta sci- fi
JUL,27,overtime,Ajay Yadav,"Swati Sharma, Yashpal Sharma, Satish Kaushik[52]",Drama,2012,,,,Drama,5.1,ajay yadav swati sharma yashpal sharma satish kaushik[52] drama
AUG,3,jism 2,Pooja Bhatt,"Sunny Leone, Arunoday Singh, Randeep Hooda[53]",Adult/Thriller,2012,,,,Drama Thriller,3.0,pooja bhatt sunny leone arunoday singh randeep hooda[53] drama thriller
AUG,3,krishna aur kans,Vikram Veturi,"Voice-over by Om Puri, Juhi Chawla, Manoj Bajpai, Anupam Kher, A. K. Hangal, Sachin Pilgaonkar, Supriya Pilgaonkar, Prachi Save[54][55]",Computer-Animated,2012,,,,Animation Action Adventure Fantasy,6.5,vikram veturi voice-over by om puri juhi chawla manoj bajpai anupam kher a. k. hangal sachin pilgaonkar supriya pilgaonkar prachi save[54][55] animation action adventure fantasy
AUG,8,gangs of wasseypur – part 2,Anurag Kashyap,"Nawazuddin Siddiqui, Tigmanshu Dhulia, Piyush Mishra, Richa Chadda, Huma Qureshi, Reema Sen[56]",Adult/Crime/Thriller,2012,,,,Action Crime Drama Thriller,8.2,anurag kashyap nawazuddin siddiqui tigmanshu dhulia piyush mishra richa chadda huma qureshi reema sen[56] action crime drama thriller
AUG,10,paanch ghantey mien paanch crore,Faisal Saif,"Meera, Abhishek Kumar, Kavita Radheshyam",Thriller,2012,,,,Thriller,,faisal saif meera abhishek kumar kavita radheshyam thriller
AUG,15,ek tha tiger,Kabir Khan,"Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad[57]",Romance/Action,2012,,,,Action Romance Thriller,5.5,kabir khan salman khan katrina kaif ranvir shorey girish karnad[57] action romance thriller
AUG,24,shirin farhad ki toh nikal padi,Bela Sehgal,"Boman Irani, Farah Khan[58]",Romance/Comedy,2012,,,,Romance,4.2,bela sehgal boman irani farah khan[58] romance
AUG,31,joker,Shirish Kunder,"Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minnisha Lamba[59]",Drama,2012,,,,Comedy Family Sci-Fi,2.4,shirish kunder akshay kumar sonakshi sinha shreyas talpade minnisha lamba[59] comedy family sci- fi
AUG,31,jalpari: the desert mermaid,Nila Madhab Panda,"Rahul Singh, Suhasini Mulay, Lehar Khan, Harsh Mayar, Tannishtha Chatterjee, Parvin Dabas",Thriller/Social,2012,,,,Drama Family Mystery,7.1,nila madhab panda rahul singh suhasini mulay lehar khan harsh mayar tannishtha chatterjee parvin dabas drama family mystery
AUG,31,from sydney with love,Prateek Chakraborty,"Sharad Malhotra, Prateek Chakraborty, Evelyn Sharma, Bidita Bag[60]",Romantic,2012,,,,Comedy Romance,6.2,prateek chakraborty sharad malhotra prateek chakraborty evelyn sharma bidita bag[60] comedy romance
AUG,31,i m 24,Saurabh Shukla,"Ranvir Shorey, Neha Dhupia, Saurabh Shukla, Rajat Kapoor, Karan Singh Grover, Manjari Fadnis",Comedy,2012,,,,Comedy,,saurabh shukla ranvir shorey neha dhupia saurabh shukla rajat kapoor karan singh grover manjari fadnis comedy
SEP,7,raaz 3: the third dimension,Vikram Bhatt,"Emraan Hashmi, Bipasha Basu, Esha Gupta[61]",Adult/Suspense/Thriller,2012,,,,Horror Romance Thriller,4.0,vikram bhatt emraan hashmi bipasha basu esha gupta[61] horror romance thriller
SEP,7,chal pichchur banate hain,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel[62]",Comedy,2012,,,,Comedy Drama,6.2,pritish chakraborty rahil tandon bhavna ruparel[62] comedy drama
SEP,14,barfi!,Anurag Basu,"Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz[63]",Romance/Comedy,2012,,,,Comedy Drama Romance,8.1,anurag basu ranbir kapoor priyanka chopra ileana d' cruz[63] comedy drama romance
SEP,14,jeena hai toh thok daal,Manish Vatsalya,"Ravi Kishan, Yashpal Sharma, Govind Namdev, Hazel Crowney, Sharat Saxena[64]",Drama,2012,,,,Action Crime Drama,5.9,manish vatsalya ravi kishan yashpal sharma govind namdev hazel crowney sharat saxena[64] action crime drama
SEP,21,heroine,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Mugdha Godse, Rakesh Bapat, Divya Dutta[65]",Adult/Drama,2012,,,,Drama,5.1,madhur bhandarkar kareena kapoor arjun rampal randeep hooda mugdha godse rakesh bapat divya dutta[65] drama
SEP,28,kamaal dhamaal malamaal,Priyadarshan,"Paresh Rawal, Om Puri, Nana Patekar, Shreyas Talpade, Rajpal Yadav, Madhurima[66]",Comedy,2012,,,,Comedy Drama,4.2,priyadarshan paresh rawal om puri nana patekar shreyas talpade rajpal yadav madhurima[66] comedy drama
SEP,28,omg – oh my god!,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Lubna Salim[67]",Comedy/Fantasy,2012,,,,Comedy Drama Fantasy,8.1,umesh shukla paresh rawal akshay kumar mithun chakraborty lubna salim[67] comedy drama fantasy
OCT,5,english vinglish,Gauri Shinde,"Sridevi, Priya Anand, Mehdi Nebbou, Amitabh Bachchan[68]",Drama,2012,,,,Comedy Drama Family,7.8,gauri shinde sridevi priya anand mehdi nebbou amitabh bachchan[68] comedy drama family
OCT,5,kismet love paisa dilli,Sanjay Khanduri,"Vivek Oberoi, Mallika Sherawat[69]",Comedy,2012,,,,Adventure Comedy Crime Romance Thriller,4.2,sanjay khanduri vivek oberoi mallika sherawat[69] adventure comedy crime romance thriller
OCT,12,aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran[70]",Rom-Com,2012,,,,Comedy Romance,4.4,sachin kundalkar rani mukerji prithviraj sukumaran[70] comedy romance
OCT,12,login,Sanjeev Reddy,"Himansu Bhatt, Radhika Roy, Akkash Basant, Rashmi Gautam, Nandini Rai[71]",Drama/Thriller,2012,,,,Drama Thriller,6.2,sanjeev reddy himansu bhatt radhika roy akkash basant rashmi gautam nandini rai[71] drama thriller
OCT,12,chittagong,Bedabrata Pain,"Manoj Bajpai, Vega Tamotia, Nawazuddin Siddiqui, Barry John[72]",Drama,2012,,,,Action Drama War,7.3,bedabrata pain manoj bajpai vega tamotia nawazuddin siddiqui barry john[72] action drama war
OCT,12,delhi safari,Nikhil Advani,"Voice-over by Akshaye Khanna, Suniel Shetty, Urmila Matondkar, Boman Irani, Govinda, Swini Khara[73]",Computer Animated,2012,,,,Animation Adventure Comedy Family,5.7,nikhil advani voice-over by akshaye khanna suniel shetty urmila matondkar boman irani govinda swini khara[73] animation adventure comedy family
OCT,12,bhoot returns,Ram Gopal Verma,"Manisha Koirala, J. D. Chakravarthy[74]",Horror,2012,,,,Horror Mystery Thriller,2.5,ram gopal verma manisha koirala j. d. chakravarthy[74] horror mystery thriller
OCT,19,student of the year,Karan Johar,"Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor[75]",Romance/Comedy,2012,,,,Comedy Drama Romance,5.3,karan johar sidharth malhotra alia bhatt varun dhawan rishi kapoor[75] comedy drama romance
OCT,24,chakravyuh,Prakash Jha,"Arjun Rampal, Abhay Deol, Esha Gupta, Manoj Bajpai, Kabir Bedi[76]",Political Thriller,2012,,,,Action Drama Thriller,6.8,prakash jha arjun rampal abhay deol esha gupta manoj bajpai kabir bedi[76] action drama thriller
OCT,26,ajab gazabb love,Sanjay Gadhvi,"Jackky Bhagnani, Nidhi Subbaiah, Arjun Rampal, Darshan Jariwala, Kirron Kher[77]",Comedy,2012,,,,Comedy Romance,4.2,sanjay gadhvi jackky bhagnani nidhi subbaiah arjun rampal darshan jariwala kirron kher[77] comedy romance
OCT,26,rush,"Shamin Desai, Priyanka Desai","Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi[78]",Thriller/Crime,2012,,,,Action Crime Thriller,6.5,shamin desai priyanka desai emraan hashmi neha dhupia sagarika ghatge aditya pancholi[78] action crime thriller
NOV,2,luv shuv tey chicken khurana,Sameer Sharma,"Kunal Kapoor, Huma Qureshi[79]",Comedy,2012,,,,Comedy,6.6,sameer sharma kunal kapoor huma qureshi[79] comedy
NOV,2,1920: the evil returns,Bhushan Patel,"Aftab Shivdasani, Tia Bajpai, Vidya Malvade[80]",Horror,2012,,,,Drama Horror Romance,4.8,bhushan patel aftab shivdasani tia bajpai vidya malvade[80] drama horror romance
NOV,2,ata pata laapata,Rajpal Yadav,"Rajpal Yadav, Ashutosh Rana, Asrani[81]",Musical Comedy,2012,,,,Comedy Musical,5.5,rajpal yadav rajpal yadav ashutosh rana asrani[81] comedy musical
NOV,2,sons of ram,Kushal Ruia,"Voice over by Sunidhi Chauhan, Aditya Kapadia, Devansh Doshi, Saptharishi Ghosh[82]",Animation/Drama/Children,2012,,,,Animation Drama Musical,6.6,kushal ruia voice over by sunidhi chauhan aditya kapadia devansh doshi saptharishi ghosh[82] animation drama musical
NOV,2,future to bright hai ji,Sanjay Amar,"Aamir Bashir, Sonal Sehgal, Satish Kaushik[83]",Drama,2012,,,,Drama,6.2,sanjay amar aamir bashir sonal sehgal satish kaushik[83] drama
NOV,13,jab tak hai jaan,Yash Chopra,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma[84]",Romance/Drama,2012,,,,Drama Romance,6.7,yash chopra shah rukh khan katrina kaif anushka sharma[84] drama romance
NOV,13,son of sardaar,Ashwni Dhir,"Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Juhi Chawla[85]",Comedy,2012,,,,Action Comedy,4.0,ashwni dhir ajay devgn sonakshi sinha sanjay dutt juhi chawla[85] action comedy
NOV,30,talaash: the answer lies within,Reema Kagti,"Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Rajkumar Rao[86]",Drama/Suspense,2012,,,,Crime Drama Mystery Thriller,7.2,reema kagti aamir khan rani mukerji kareena kapoor nawazuddin siddiqui rajkumar rao[86] crime drama mystery thriller
DEC,7,khiladi 786,Ashish R Mohan,"Akshay Kumar, Asin Thottumkal, Mithun Chakraborty, Raj Babbar, Himesh Reshammiya, Paresh Rawal[87]",Action/Comedy,2012,,,,Action Comedy,4.2,ashish r mohan akshay kumar asin thottumkal mithun chakraborty raj babbar himesh reshammiya paresh rawal[87] action comedy
DEC,12,the last act,12 directors,Saurabh Shukla[88],Anthology,2012,,,,Action Adventure Crime,7.2,12 directors saurabh shukla[88] action adventure crime
DEC,14,cigarette ki tarah,Akashaditya Lama,"Bhoop Yaduvanshi, Prashant Narayanan, Madhurima Tuli, Sudesh Berry[89]",Drama/Thriller,2012,,,,Romance Thriller,4.4,akashaditya lama bhoop yaduvanshi prashant narayanan madhurima tuli sudesh berry[89] romance thriller
DEC,21,dabangg 2,Arbaaz Khan,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Prakash Raj, Vinod Khanna[90]",Action/Comedy,2012,,,,Action Comedy,4.8,arbaaz khan salman khan sonakshi sinha arbaaz khan prakash raj vinod khanna[90] action comedy
JAN,4.0,table no. 21,Aditya Datt,"Paresh Rawal, Rajeev Khandelwal, Tina Desai",Thriller/Drama,2013,[4],,,Adventure Drama Thriller,7.1,aditya datt paresh rawal rajeev khandelwal tina desai adventure drama thriller
JAN,4.0,dehraadun diary,Milind Ukey,"Adhyayan Suman, Rohit Bakshi, Ragini Nandwani, Ashwini Kalsekar, Rati Agnihotri",Thriller,2013,[5],,,Thriller,5.9,milind ukey adhyayan suman rohit bakshi ragini nandwani ashwini kalsekar rati agnihotri thriller
JAN,4.0,meri shadi karao,Syed Noor,Gurdeep Singh Mehndi,Comedy,2013,[6],,,Romance,,syed noor gurdeep singh mehndi romance
JAN,11.0,matru ki bijlee ka mandola,Vishal Bhardwaj,"Imran Khan, Anushka Sharma, Pankaj Kapur",Comedy,2013,[7],,,Comedy Drama,5.6,vishal bhardwaj imran khan anushka sharma pankaj kapur comedy drama
JAN,11.0,pyaar mein aisa hota hai,Rajesh Kumar,"Mohd Nazim, Aanamika Bawa, Rohit Rajawat, Aayushi Sharma",Thriller,2013,[8],,,Thriller,,rajesh kumar mohd nazim aanamika bawa rohit rajawat aayushi sharma thriller
JAN,11.0,gangoobai,Priya Krishnaswamy,"Sarita Joshi, Purab Kohli, Mita Vasisht",Drama,2013,[9],,,Drama Family,7.4,priya krishnaswamy sarita joshi purab kohli mita vasisht drama family
JAN,18.0,inkaar,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljit Singh",Romance/Crime,2013,[10],,,Drama Romance Thriller,6.1,sudhir mishra arjun rampal chitrangada singh deepti naval kanwaljit singh drama romance thriller
JAN,18.0,mumbai mirror,Ankush Bhatt,"Sachiin Joshi, Gihana Khan, Prakash Raj",Action,2013,[11],,,Action Crime Thriller,5.1,ankush bhatt sachiin joshi gihana khan prakash raj action crime thriller
JAN,18.0,bandook,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",Crime,2013,[12],,,Crime Thriller,5.9,aditya om aditya om manisha kelkar arshad khan crime thriller
JAN,25.0,race 2,Abbas-Mustan,"Saif Ali Khan, Deepika Padukone, John Abraham, Jacqueline Fernandez, Anil Kapoor, Ameesha Patel",Action/Thriller,2013,[13],,,Action Crime Thriller,5.3,abbas- mustan saif ali khan deepika padukone john abraham jacqueline fernandez anil kapoor ameesha patel action crime thriller
JAN,25.0,akaash vani,Luv Ranjan,"Kartik Tiwari, Nushrat Bharucha",Romance,2013,[14],,,Drama Romance,6.2,luv ranjan kartik tiwari nushrat bharucha drama romance
JAN,25.0,main krishna hoon,Rajiv S. Ruia,"Hrithik Roshan, Juhi Chawla, Rajneesh Duggal, Misti Mukherjee, Katrina Kaif",Animation/Musical,2013,[15],,,Animation Family Musical,5.4,rajiv s. ruia hrithik roshan juhi chawla rajneesh duggal misti mukherjee katrina kaif animation family musical
FEB,1.0,david,Bejoy Nambiar,"Vikram, Lara Dutta, Vinay Virmani, Neil Nitin Mukesh, Tabu",Crime,2013,[16],,,Comedy Drama Music,7.5,bejoy nambiar vikram lara dutta vinay virmani neil nitin mukesh tabu comedy drama music
FEB,1.0,vishwaroopam,Kamal Haasan,"Kamal Haasan, Pooja Kumar, Shekhar Kapur, Andrea Jeremiah, Rahul Bose",Action,2013,[17],,,Action Thriller,8.2,kamal haasan kamal haasan pooja kumar shekhar kapur andrea jeremiah rahul bose action thriller
FEB,1.0,mai...,Mahesh Kodiyal,"Asha Bhosle, Ram Kapoor, Padmini Kolhapure",Drama/Family,2013,[18],,,Drama/Family,,mahesh kodiyal asha bhosle ram kapoor padmini kolhapure drama/ family
FEB,1.0,listen... amaya,Avinash Kumar Singh,"Farooq Sheikh, Deepti Naval, Swara Bhaskar",Drama,2013,[19],,,Drama,6.7,avinash kumar singh farooq sheikh deepti naval swara bhaskar drama
FEB,8.0,special 26,Neeraj Pandey,"Akshay Kumar, Kajal Aggarwal, Manoj Bajpayee, Anupam Kher, Jimmy Sheirgill[20]",Drama/Heist,2013,,,,Crime Drama Thriller,8.0,neeraj pandey akshay kumar kajal aggarwal manoj bajpayee anupam kher jimmy sheirgill[20] crime drama thriller
FEB,8.0,abcd: any body can dance,Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb, Punit Pathak, Dharmesh Yelande, Salman Yusuff Khan",Drama/Dance,2013,,,,Drama Music,6.3,remo d' souza prabhu deva ganesh acharya kay kay menon lauren gottlieb punit pathak dharmesh yelande salman yusuff khan drama music
FEB,8.0,the unsound,Alok Shrivastava,"Shadaab Khan, Anurita Jha[21]",Thriller,2013,,,,Thriller,4.8,alok shrivastava shadaab khan anurita jha[21] thriller
FEB,15.0,jayantabhai ki luv story,Vinnil Markan,"Vivek Oberoi, Neha Sharma[22]",Comedy/Romance,2013,,,,Action Comedy Romance,5.3,vinnil markan vivek oberoi neha sharma[22] action comedy romance
FEB,15.0,murder 3,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Mona Lizza",Thriller,2013,[23],,,Drama Mystery Thriller,4.9,vishesh bhatt randeep hooda aditi rao hydari mona lizza drama mystery thriller
FEB,22.0,kai po che!,Abhishek Kapoor,"Sushant Singh Rajput, Rajkumar Rao, Amit Sadh, Amrita Puri",Drama,2013,[24],,,Drama Sport,7.7,abhishek kapoor sushant singh rajput rajkumar rao amit sadh amrita puri drama sport
FEB,22.0,zila ghaziabad,Anand Kumar,"Arshad Warsi, Vivek Oberoi, Sanjay Dutt, Minissha Lamba, Ravi Kishan, Paresh Rawal",Action,2013,[25],,,Action Crime Thriller,3.5,anand kumar arshad warsi vivek oberoi sanjay dutt minissha lamba ravi kishan paresh rawal action crime thriller
MAR,1.0,"i, me aur main",Kapil Sharma,"John Abraham, Prachi Desai, Chitrangda Singh",Romance/Comedy,2013,[26],,,Comedy Drama Musical Romance,4.6,kapil sharma john abraham prachi desai chitrangda singh comedy drama musical romance
MAR,1.0,bloody isshq,Arup Dutta,"Akash Singh, Shilpa Anand, Tripta Parashar",Romance/Thriller,2013,[27],,,Drama Romance,7.8,arup dutta akash singh shilpa anand tripta parashar drama romance
MAR,8.0,"saheb, biwi aur gangster returns",Tigmanshu Dhulia,"Jimmy Sheirgill, Mahie Gill, Irrfan Khan, Soha Ali Khan",Drama/Thriller,2013,[28],,,Action Crime Drama Thriller,6.8,tigmanshu dhulia jimmy sheirgill mahie gill irrfan khan soha ali khan action crime drama thriller
MAR,8.0,saare jahaan se mehnga,Anshul Sharma,"Sanjay Mishra, Ranjan Chhabra, Disha Pandey, Vishwa Mohan Badola, Pramod Pathak, Zakir Hussain",Satire/Comedy,2013,[29],,,Comedy Drama,7.1,anshul sharma sanjay mishra ranjan chhabra disha pandey vishwa mohan badola pramod pathak zakir hussain comedy drama
MAR,15.0,3g - a killer connection,"Shantanu, Sheershak Anand","Neil Nitin Mukesh, Sonal Chauhan",Romance/Thriller,2013,[30],,,Horror Sci-Fi Thriller,3.6,shantanu sheershak anand neil nitin mukesh sonal chauhan horror sci- fi thriller
MAR,15.0,mere dad ki maruti,Ashima Chibber,"Saqib Saleem, Ram Kapoor, Rhea Chakraborty, Prabal Panjabi",Comedy,2013,[31],,,Comedy Drama Romance,6.4,ashima chibber saqib saleem ram kapoor rhea chakraborty prabal panjabi comedy drama romance
MAR,15.0,jolly llb,Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani, Saurabh Shukla",Comedy/Satire,2013,[32],,,Comedy Drama,7.5,subhash kapoor arshad warsi amrita rao boman irani saurabh shukla comedy drama
MAR,20.0,rangrezz,Priyadarshan,"Jackky Bhagnani, Priya Anand, Rajpal Yadav, Evelyn Sharma",Action,2013,[33],,,Action Drama,5.1,priyadarshan jackky bhagnani priya anand rajpal yadav evelyn sharma action drama
MAR,22.0,the adventures of sinbad,"Shinjan Neogi, Abhishek Panchal","Vaibhav, Manju",Adventure,2013,[34],,,Animation,,shinjan neogi abhishek panchal vaibhav manju animation
MAR,29.0,himmatwala,Sajid Khan,"Ajay Devgn, Tamannaah, Mahesh Manjrekar, Riteish Deshmukh",Action/Comedy,2013,[35],,,Action Comedy,1.7,sajid khan ajay devgn tamannaah mahesh manjrekar riteish deshmukh action comedy
APR,5.0,chashme baddoor,David Dhawan,"Ali Zafar, Siddharth, Taapsee Pannu, Divyendu Sharma[36]",Comedy/Romance,2013,,,,Comedy Drama,5.4,david dhawan ali zafar siddharth taapsee pannu divyendu sharma[36] comedy drama
APR,12.0,nautanki saala,Rohan Sippy,"Ayushmann Khurrana, Kunaal Roy Kapur, Pooja Salvi, Evelyn Sharma[37]",Comedy/Romance,2013,,,,Comedy,5.8,rohan sippy ayushmann khurrana kunaal roy kapur pooja salvi evelyn sharma[37] comedy
APR,12.0,commando: a one man army,Dilip Ghosh,"Vidyut Jamwal, Pooja Chopra, Jaideep Ahlawat[38]",Action/Romance,2013,,,,Action Thriller,6.2,dilip ghosh vidyut jamwal pooja chopra jaideep ahlawat[38] action thriller
APR,19.0,ek thi daayan,Kannan Iyer,"Emraan Hashmi, Huma Qureshi, Konkona Sen Sharma, Kalki Koechlin[39]",Horror,2013,,,,Horror Romance Thriller,5.7,kannan iyer emraan hashmi huma qureshi konkona sen sharma kalki koechlin[39] horror romance thriller
APR,26.0,aashiqui 2,Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa[40]",Musical/Romance,2013,,,,Drama Music Musical Romance,7.0,mohit suri aditya roy kapur shraddha kapoor shaad randhawa[40] drama music musical romance
APR,26.0,shree,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil[41]",Thriller,2013,,,,Sci-Fi,6.4,rajesh bachchani hussain kuwajerwala paresh ganatra anjali patil[41] sci- fi
MAY,1.0,shootout at wadala,Sanjay Gupta,"John Abraham, Anil Kapoor, Ronit Roy, Manoj Bajpayee, Kangana Ranaut, Sonu Sood, Tushar Kapoor, Mahesh Manjrekar, Karan Patel, Jackie Shroff, Raju Kher[42]",Crime/Thriller,2013,,,,Action Biography Crime,5.9,sanjay gupta john abraham anil kapoor ronit roy manoj bajpayee kangana ranaut sonu sood tushar kapoor mahesh manjrekar karan patel jackie shroff raju kher[42] action biography crime
MAY,1.0,bombay talkies,"Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee","Rani Mukerji, Nawazuddin Siddiqui, Randeep Hooda, Saqib Saleem, Sadashiv Amrapurkar, Katrina Kaif[43]",Anthology,2013,,,,Drama,6.7,anurag kashyap karan johar zoya akhtar dibakar banerjee rani mukerji nawazuddin siddiqui randeep hooda saqib saleem sadashiv amrapurkar katrina kaif[43] drama
MAY,1.0,chhota bheem and the throne of bali,Rajiv Chilaka, ,Children/Animation,2013,[44],,,Animation,6.8,rajiv chilaka  animation
MAY,4.0,savita bhabhi,Puneet Agarwal,Rozlyn Khan,Adult Animation,2013,[45],,,Adult Animation,,puneet agarwal rozlyn khan adult animation
MAY,10.0,go goa gone,"Raj Nidimoru, Krishna D.K.","Saif Ali Khan, Kunal Khemu, Vir Das, Puja Gupta[46]",Zombie Comedy,2013,,,,Action Adventure Comedy Horror Sci-Fi,6.6,raj nidimoru krishna d. k. saif ali khan kunal khemu vir das puja gupta[46] action adventure comedy horror sci- fi
MAY,10.0,gippi,Sonam Nair,"Riya Vij, Divya Dutta, Taaha Shah[47]",Coming of age,2013,,,,Comedy Drama,5.6,sonam nair riya vij divya dutta taaha shah[47] comedy drama
MAY,17.0,aurangzeb,Atul Sabharwal,"Arjun Kapoor, Prithviraj Sukumaran, Jackie Shroff, Rishi Kapoor, Sasha Agha[48]",Drama/Action,2013,,,,Action Drama Thriller,6.5,atul sabharwal arjun kapoor prithviraj sukumaran jackie shroff rishi kapoor sasha agha[48] action drama thriller
MAY,17.0,i don't luv u,Amit Kasaria,"Ruslaan Mumtaz, Chetna Pande[49]",Romantic Drama,2013,,,,Romance,6.3,amit kasaria ruslaan mumtaz chetna pande[49] romance
MAY,17.0,beehad - the ravines,Krishna Mishra,"Vikas Shrivastav, Maan Singh Deep, Mangal Singh, Deepa",Drama,2013,,,,Drama,4.8,krishna mishra vikas shrivastav maan singh deep mangal singh deepa drama
MAY,24.0,ishkq in paris,Prem Raj,"Preity Zinta, Rhehan Malliek, Isabelle Adjani[50]",Romance,2013,,,,Comedy Romance,3.8,prem raj preity zinta rhehan malliek isabelle adjani[50] comedy romance
MAY,24.0,hum hai raahi car ke,Jyotin Goel,"Adah Sharma, Dev Goel, Sanjay Dutt, Juhi Chawla, Chunky Pandey[51]",Romantic comedy,2013,,,,Comedy Romance,3.1,jyotin goel adah sharma dev goel sanjay dutt juhi chawla chunky pandey[51] comedy romance
MAY,24.0,zindagi 50-50,Rajiv S. Ruia,"Riya Sen, Rajan Verma, Veena Malik, Arya Babbar, Supriya Kumari, Rajpal Yadav[52]",Adult/Social,2013,,,,Comedy Drama,2.7,rajiv s. ruia riya sen rajan verma veena malik arya babbar supriya kumari rajpal yadav[52] comedy drama
MAY,31.0,yeh jawaani hai deewani,Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Evelyn Sharma, Kunal Roy Kapoor[53]",Romantic comedy,2013,,,,Drama Musical Romance,7.1,ayan mukerji ranbir kapoor deepika padukone aditya roy kapur kalki koechlin evelyn sharma kunal roy kapoor[53] drama musical romance
JUN,7.0,yamla pagla deewana 2,Sangeeth Sivan,"Dharmendra, Sunny Deol, Bobby Deol, Neha Sharma, Kristina Akheeva[54]",Comedy/Action,2013,,,,Action Comedy,3.4,sangeeth sivan dharmendra sunny deol bobby deol neha sharma kristina akheeva[54] action comedy
JUN,14.0,fukrey,Mrigdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Richa Chadda, Vishakha Singh, Priya Anand, Pankaj Tripathi[55]",Comedy/Thriller,2013,,,,Comedy Drama Romance,6.9,mrigdeep singh lamba pulkit samrat manjot singh ali fazal richa chadda vishakha singh priya anand pankaj tripathi[55] comedy drama romance
JUN,14.0,ankur arora murder case,Suhail Tatari,"Kay Kay Menon, Paoli Dam, Arjun Mathur, Vishakha Singh, Harsh Chhaya[56]",Thriller,2013,,,,Drama Thriller,6.5,suhail tatari kay kay menon paoli dam arjun mathur vishakha singh harsh chhaya[56] drama thriller
JUN,21.0,raanjhanaa,Anand L. Rai,"Dhanush, Sonam Kapoor, Abhay Deol, Swara Bhaskar, Mohammed Zeeshan Ayyub Khan[57]",Romance,2013,,,,Drama Romance,7.6,anand l. rai dhanush sonam kapoor abhay deol swara bhaskar mohammed zeeshan ayyub khan[57] drama romance
